id,target,type,domain,submission_url,target_url,quality_score,status,login_needed,user_action,evidence,last_checked,notes
14,Dazzle Africa,African venture directory,dazzle.africa,https://www.dazzle.africa/join-now,https://afrotools.com/,A,qualified,yes,create a free email-code account and claim a venture profile,"Official startup page offers free profiles with no credit card and says it covers 2500+ ventures across 53 African countries; sample public venture profiles expose direct Website links; directory search returned no AfroTools record",2026-07-12,"Create one accurate profile; do not make unsupported funding, verification, customer, or transaction claims"
15,StartupList Africa,African startup intelligence directory,startuplist.africa,https://startuplist.africa/register,https://afrotools.com/,A,qualified - account discovery,yes,create a real founder account and verify the add or claim workflow,"Active directory verified with 3100+ startups; live company profiles expose website resources; direct directory search returned zero AfroTools results; registration requires first name, last name, email, password, and terms acceptance",2026-07-12,"Account creation is justified only to create or claim one accurate AfroTools company record; do not subscribe to Pro"
16,Kenya Startups,African startup publisher and directory,kenyastartups.com,https://www.kenyastartups.com/submit-startup,https://afrotools.com/,A,editorial prospect,no,send a factual product-launch or growth-story pitch to submit@kenyastartups.com,"Official submission page invites African startups and requests company facts, founder background, story details, metrics, images, and a contact; it states editorial review and archiving in its startup database",2026-07-12,"Pitch only verified milestones and product evidence; do not invent traction, funding, team size, or founder claims"
17,Startup Buffer,startup directory,startupbuffer.com,https://startupbuffer.com/site/submit,https://afrotools.com/,B,qualified,no,submit the reviewed three-step form,"Active public directory verified with 9888 browseable startups and direct Visit website links; submission requests name, website, business email, short pitch, 3-4 sentence description, screenshot under 500 KB, and optional discovery fields",2026-07-12,"Use the 67 KB AfroTools social image as the screenshot; browser challenge must be completed normally and never bypassed"
18,The Startup Project,startup directory,startupproject.org,https://startupproject.org/submit-startup/,https://afrotools.com/,D,rejected,no,none,"Official directory currently shows no startups listed and the submission terms require a backlink from AfroTools to maintain the listing",2026-07-12,"Reject for now: an empty directory plus mandatory reciprocal link does not meet this campaign's editorial quality standard"
19,Foundro,African startup and investment directory,foundro.co,https://auth.foundro.co/signup/founder,https://afrotools.com/,D,rejected,yes,none,"Official FAQ says listings are free and manually reviewed, but the public directory currently exposes only four ventures and includes obvious test entries and placeholder investment copy such as 'Just a test investment summary here'",2026-07-12,"Do not create an account until the catalog contains a credible body of real ventures and the test investment content is removed"
20,AfroPitch,Africa and Caribbean business directory,afropitch.com,https://afropitch.com/directory/,https://afrotools.com/,B,qualified - form technical check,no,inspect the interactive free-listing form before submission,"Active directory exposes more than 600 public listings with dedicated profile URLs and direct Visit Website links; official pages state basic listings are free and reviewed; site search returned no AfroTools profile",2026-07-12,"Strong Africa-first prospect; confirm the actual form fields and free-plan website link before submitting and decline featured or paid placement"
21,Nigeria Startup Portal,official startup register,startup.gov.ng,https://www.startup.gov.ng/registration/startup,https://afrotools.com/,A,conditional - legal eligibility,yes,verify Nigerian incorporation and Startup Act eligibility before any account creation,"Official Nigeria Startup Act portal requires an RC number, company email, company name, password, and prescribed startup-label documents before entry in the statutory register",2026-07-12,"Not a backlink directory; pursue only if AfroTools is a qualifying Nigerian incorporated technology startup and the label is genuinely useful"
22,Ranked Nigeria,Nigerian local business directory,ranked.ng,https://ranked.ng/submit,https://afrotools.com/,B,conditional - local address required,no,verify a real Nigerian city and physical business address,"Human-reviewed free directory requires category, city, street address, submitter relationship, and verification; it is designed for Nigerian local businesses",2026-07-12,"Do not invent a city or address for a pan-African web platform; hold until a verifiable Nigerian operating address is supplied"
23,Ghana Business Hub,Ghana business directory,ghanabusinesshub.com,https://ghanabusinesshub.com/to-list,https://afrotools.com/,C,conditional - local eligibility,yes,verify Ghana business presence and a real mobile contact,"Official listing page offers free directory profiles but requires personal and business registration, mobile number, verification, and authentication",2026-07-12,"Do not submit as a Ghanaian business without a verifiable Ghana operating presence"
24,Startup Club ZA,South African startup community,startupclubza.com,https://startupclubza.com/,https://afrotools.com/,B,conditional - local eligibility,yes,verify a real South African company or founder connection,"Active platform describes itself as South Africa's startup community and exposes a directory, jobs, events, and member login",2026-07-12,"Hold until AfroTools can truthfully establish South African founder or company eligibility; do not create a location-based profile by implication"
25,Africa Business Directory,paid African business directory,africa-business-directory.com,https://africa-business-directory.com/add_listing.php?t=adv,https://afrotools.com/,D,rejected,yes,none,"Directory states the active website link is available only on a $50 advanced listing while the free listing does not include an active web link",2026-07-12,"Reject as a paid-link placement; do not purchase backlinks"
26,PeerPush,product launch directory,peerpush.com,https://peerpush.com/p/afrotools,https://afrotools.com/,B,existing - live,no,none,"Public AfroTools profile verified with a direct Visit site link to AfroTools; rel contains only noopener and no nofollow; profile was published 2026-04-09",2026-07-12,"Count as pre-existing baseline only; do not submit a duplicate"
27,Pan-African.net,African diaspora business directory,pan-african.net,https://pan-african.net/add-listing-form/?bundle=directory_dir_ltg&plan=372,https://afrotools.com/,B,conditional - free fields unverified,yes,confirm the free plan exposes a website field after registration,"Official listing page offers a free unlimited plan but limits it to four fields, one category, two tags, one location and no photos; the listing form is hidden behind account registration",2026-07-12,"Do not register until the free plan is confirmed to include a public website link; decline the paid plan"
28,SaaSWall,SaaS and startup directory,saaswall.co,https://saaswall.co/submit,https://afrotools.com/,C,submission attempted - media validation error,yes,retry with compatible PNG media,"The canonical URL was extracted and all claims were corrected; hello@afrotools.com was verified with SaaSWall's emailed code, but final submission returned 'Invalid file extension' for the automatically extracted SVG/WebP media even after the visible Remove controls were used",2026-07-12,"Not submitted and not counted; retry with compatible square PNG logo and screenshot assets"
29,SubmitStartup,startup and SaaS directory,submitstartup.io,https://submitstartup.io/submit,https://afrotools.com/,C,form prepared - arithmetic check pending,no,complete the visible 6 + 1 check and submit,"All reviewed AfroTools fields are filled in the live form with Productivity selected; the free listing explicitly receives a nofollow link and the only remaining controls are the visible arithmetic anti-spam answer and Submit for Review",2026-07-12,"Do not count until the user confirms the visible anti-spam check, the form is submitted, and a public profile is independently verified"
30,Mevelo,South African business directory,mevelo.co.za,https://mevelo.co.za/for/businesses,https://afrotools.com/,D,rejected,no,none,"Current approved-business API returns one listing and its record schema contains no website URL field",2026-07-12,"Reject because the directory cannot create a backlink and remains an early rollout"
31,SaaSFolk,SaaS directory,saasfolk.com,https://www.saasfolk.com/submit,https://afrotools.com/,D,rejected - broken catalog,yes,none,"Homepage claims 500+ free SEO-ready listings, but multiple current product links from the live homepage return HTTP 404",2026-07-12,"Do not create an account while public listing routes are broken; recheck only after working profile URLs are demonstrated"
32,NileNest,African technology ecosystem directory,nilenest.vercel.app,https://nilenest.vercel.app/submit,https://afrotools.com/,B,conditional - funding stage required,no,verify a truthful funding stage before submission,"Africa-first directory is free and reviewed; sample startup profile exposes direct outbound links with rel='noopener noreferrer' and no nofollow; country options include Other and city is optional, but Funding Stage is required",2026-07-12,"Strong Africa-first dofollow opportunity; use country Other and leave city blank, but do not guess Pre-seed or Seed"
33,FinderAfrica,African local business directory,finderafrica.com,https://finderafrica.com/submit-listing/,https://afrotools.com/,D,rejected - paid only,no,none,"Current submission flow requires $10, $25 or $50 annual payment and redirects to payment after submission; city and phone are also required",2026-07-12,"Reject as a paid directory placement and do not buy a backlink"
34,StartupBlink,global startup ecosystem map,startupblink.com,https://www.startupblink.com/startups/add,https://afrotools.com/,A,conditional - verified city required,no,verify AfroTools' real headquarters city,"Official form requires startup name, website, city, industry, subindustry and a 30-350 character description; submitter must confirm official representation and may need domain-email verification",2026-07-12,"High-quality target once a truthful headquarters city is documented; do not infer a city from pan-African positioning"
35,Wired Startups,startup directory,wiredstartups.com,https://www.wiredstartups.com/startups,https://afrotools.com/,D,rejected,no,none,"Public sample route currently fails TLS hostname verification and previously inspected profiles used generic placeholder-like companies and domains",2026-07-12,"Reject until HTTPS is valid and a credible catalog of real companies is visible"
36,Silicon Africa,Black builder and startup network,siliconafrica.net,https://www.siliconafrica.net/waitlist.html,https://afrotools.com/,D,rejected - staged catalog,yes,none,"Site is still an early-access waitlist while public startup pages present generic fictional-looking companies, fixed engagement counts and unsupported large catalog claims without stable profile links",2026-07-12,"Do not assert identity eligibility or join for a backlink; reconsider only when real public profiles and outbound links can be verified"
37,AfricaShowAm,pan-African and diaspora business directory,africashowam.com,https://www.africashowam.com/,https://afrotools.com/,C,conditional - city and phone required,no,provide a verified country or diaspora location, city and phone,"Official inline form is free, accountless and human-reviewed and includes an optional website field, but country, city and phone are mandatory; current directory asks businesses to be the first to list",2026-07-12,"Promising Africa-first route only after truthful location and phone details are available; do not use Other Diaspora as a substitute for Pan-African"
38,AfriBiz Africa,pan-African WhatsApp-first directory,afribiz.africa,https://afribiz.africa/my-business/create,https://afrotools.com/,D,rejected - immature local directory,yes,none,"Current catalog shows only six businesses from Ivory Coast and the product is centered on local WhatsApp contact rather than web discovery",2026-07-12,"Reject for now because AfroTools lacks a verified local country, city and WhatsApp presence and backlink value is unproven"
39,Africa2Trust,African B2B business directory,africa2trust.com,https://www.africa2trust.com/Contacts-Directory/Join-Africa-Contacts-Directory.aspx?c=4&l=1,https://afrotools.com/,C,conditional - incorporation and address required,no,verify African incorporation, country, city, phone and physical address,"Free registration explicitly requires an Africa-incorporated business with a physical address; form also requires country, city, town, phone, contact name, website and street address",2026-07-12,"Do not submit a pan-African web platform without documentary African incorporation and a real operating address"
40,Pladify,verified pan-African B2B marketplace,pladify.com,https://pladify.com/,https://afrotools.com/,B,conditional - location and business proof required,no,provide a verified location and acceptable proof of active business,"Manual free listing route accepts company details by email and says it verifies every business; it requests location, contact details and proof such as registration, press coverage or another verifiable signal",2026-07-12,"High-integrity editorial opportunity once location and verification evidence are documented; do not invent a registration number or press mention"
