batch,batch_index,type,priority,name,slug,source_id,route,save_folder,filename,dimensions,format,prompt,notes
1,11,tool-card,50,Cookie Consent Banner Generator - Africa NDPA POPIA GDPR,cookie-consent,cookie-consent,/tools/cookie-consent/,/assets/img/tools/,cookie-consent.webp,800x450,WebP,"Create an AfroTools web-card banner for Cookie Consent Banner Generator - Africa NDPA POPIA GDPR. calm realistic workspace photo style. Show documents, checklist, signature pen, business folder. No readable text, no logos, no brand marks. 16:9, polished, useful for social cards.",Carry-forward from next-critical-images-2026-06-11-next-300.csv. Canonical app image. Reuse for translated pages unless visible localized text is required. Category=legal; tier=T3.
1,12,tool-card,50,Docker Compose Generator - African Developer Tool,docker-compose-gen,docker-compose-gen,/tools/docker-compose-gen/,/assets/img/tools/,docker-compose-gen.webp,800x450,WebP,"Create an AfroTools web-card banner for Docker Compose Generator - African Developer Tool. watercolor wash with ink line. Show abstract code blocks, browser window, API cards. No readable text, no logos, no brand marks. 16:9, polished, useful for social cards.",Carry-forward from next-critical-images-2026-06-11-next-300.csv. Canonical app image. Reuse for translated pages unless visible localized text is required. Category=developer; tier=T3.
1,13,tool-card,50,Film / Movie Budget Breakdown Tool - Nollywood & Africa,film-budget,film-budget,/tools/film-budget/,/assets/img/tools/,film-budget.webp,800x450,WebP,"Create an AfroTools web-card banner for Film / Movie Budget Breakdown Tool - Nollywood & Africa. clean editorial desk scene, warm light. Show practical African web app objects and forms. No readable text, no logos, no brand marks. 16:9, polished, useful for social cards.",Carry-forward from next-critical-images-2026-06-11-next-300.csv. Canonical app image. Reuse for translated pages unless visible localized text is required. Category=personal-finance; tier=T3.
1,14,tool-card,50,GDPR vs African Data Protection Laws Comparison 2024,gdpr-vs-africa,gdpr-vs-africa,/tools/gdpr-vs-africa/,/assets/img/tools/,gdpr-vs-africa.webp,800x450,WebP,"Create an AfroTools web-card banner for GDPR vs African Data Protection Laws Comparison 2024. soft 3D clay still life. Show documents, checklist, signature pen, business folder. No readable text, no logos, no brand marks. 16:9, polished, useful for social cards.",Carry-forward from next-critical-images-2026-06-11-next-300.csv. Canonical app image. Reuse for translated pages unless visible localized text is required. Category=legal; tier=T3.
1,15,tool-card,50,Halal Business Compliance Checker - Africa,halal-compliance,halal-compliance,/tools/halal-compliance/,/assets/img/tools/,halal-compliance.webp,800x450,WebP,"Create an AfroTools web-card banner for Halal Business Compliance Checker - Africa. modern dashboard abstraction. Show practical African web app objects and forms. No readable text, no logos, no brand marks. 16:9, polished, useful for social cards.",Carry-forward from next-critical-images-2026-06-11-next-300.csv. Canonical app image. Reuse for translated pages unless visible localized text is required. Category=religious-cultural; tier=T3.
1,16,tool-card,50,"Immigration Points Calculator - Canada CRS, Australia Points, UK Skilled Worker",immigration-points,immigration-points,/tools/immigration-points/,/assets/img/tools/,immigration-points.webp,800x450,WebP,"Create an AfroTools web-card banner for Immigration Points Calculator - Canada CRS, Australia Points, UK Skilled Worker. clean editorial desk scene, warm light. Show practical African web app objects and forms. No readable text, no logos, no brand marks. 16:9, polished, useful for social cards.",Carry-forward from next-critical-images-2026-06-11-next-300.csv. Canonical app image. Reuse for translated pages unless visible localized text is required. Category=diaspora; tier=T3.
1,17,tool-card,50,Inheritance Tax Calculator Africa 2026 - Estate & Death Duty,inheritance-tax,inheritance-tax,/tools/inheritance-tax/,/assets/img/tools/,inheritance-tax.webp,800x450,WebP,"Create an AfroTools web-card banner for Inheritance Tax Calculator Africa 2026 - Estate & Death Duty. watercolor wash with ink line. Show documents, checklist, signature pen, business folder. No readable text, no logos, no brand marks. 16:9, polished, useful for social cards.",Carry-forward from next-critical-images-2026-06-11-next-300.csv. Canonical app image. Reuse for translated pages unless visible localized text is required. Category=legal; tier=T3.
1,18,tool-card,50,Interview Preparation Checklist for Africa - By Company Type & Role,interview-prep,interview-prep,/tools/interview-prep/,/assets/img/tools/,interview-prep.webp,800x450,WebP,"Create an AfroTools web-card banner for Interview Preparation Checklist for Africa - By Company Type & Role. modern dashboard abstraction. Show study desk, notebook, calculator, exam planning sheet. No readable text, no logos, no brand marks. 16:9, polished, useful for social cards.",Carry-forward from next-critical-images-2026-06-11-next-300.csv. Canonical app image. Reuse for translated pages unless visible localized text is required. Category=education; tier=T3.
1,19,tool-card,50,Islamic Calendar Converter - Gregorian to Hijri,islamic-calendar,islamic-calendar,/tools/islamic-calendar/,/assets/img/tools/,islamic-calendar.webp,800x450,WebP,"Create an AfroTools web-card banner for Islamic Calendar Converter - Gregorian to Hijri. soft 3D clay still life. Show practical African web app objects and forms. No readable text, no logos, no brand marks. 16:9, polished, useful for social cards.",Carry-forward from next-critical-images-2026-06-11-next-300.csv. Canonical app image. Reuse for translated pages unless visible localized text is required. Category=religious-cultural; tier=T3.
1,20,tool-card,50,Legal Aid Eligibility Checker Africa 2026 - 16 Countries,legal-aid,legal-aid,/tools/legal-aid/,/assets/img/tools/,legal-aid.webp,800x450,WebP,"Create an AfroTools web-card banner for Legal Aid Eligibility Checker Africa 2026 - 16 Countries. calm realistic workspace photo style. Show documents, checklist, signature pen, business folder. No readable text, no logos, no brand marks. 16:9, polished, useful for social cards.",Carry-forward from next-critical-images-2026-06-11-next-300.csv. Canonical app image. Reuse for translated pages unless visible localized text is required. Category=legal; tier=T3.
1,21,tool-card,50,Merchant Fee Calculator - Africa,merchant-fees,merchant-fees,/tools/merchant-fees/,/assets/img/tools/,merchant-fees.webp,800x450,WebP,"Create an AfroTools web-card banner for Merchant Fee Calculator - Africa. clean editorial desk scene, warm light. Show practical African web app objects and forms. No readable text, no logos, no brand marks. 16:9, polished, useful for social cards.",Carry-forward from next-critical-images-2026-06-11-next-300.csv. Canonical app image. Reuse for translated pages unless visible localized text is required. Category=fintech; tier=T3.
1,22,tool-card,50,Microinsurance Premium Calculator - 15 African Countries,microinsurance,microinsurance,/tools/microinsurance/,/assets/img/tools/,microinsurance.webp,800x450,WebP,"Create an AfroTools web-card banner for Microinsurance Premium Calculator - 15 African Countries. calm realistic workspace photo style. Show practical African web app objects and forms. No readable text, no logos, no brand marks. 16:9, polished, useful for social cards.",Carry-forward from next-critical-images-2026-06-11-next-300.csv. Canonical app image. Reuse for translated pages unless visible localized text is required. Category=insurance; tier=T3.
1,23,tool-card,50,Password Strength Checker - 100% Client-Side,password-strength,password-strength,/tools/password-strength/,/assets/img/tools/,password-strength.webp,800x450,WebP,"Create an AfroTools web-card banner for Password Strength Checker - 100% Client-Side. flat paper texture illustration. Show practical African web app objects and forms. No readable text, no logos, no brand marks. 16:9, polished, useful for social cards.",Carry-forward from next-critical-images-2026-06-11-next-300.csv. Canonical app image. Reuse for translated pages unless visible localized text is required. Category=security; tier=T3.
1,24,tool-card,50,POS Transaction Fee Calculator - Africa,pos-fees,pos-fees,/tools/pos-fees/,/assets/img/tools/,pos-fees.webp,800x450,WebP,"Create an AfroTools web-card banner for POS Transaction Fee Calculator - Africa. soft 3D clay still life. Show practical African web app objects and forms. No readable text, no logos, no brand marks. 16:9, polished, useful for social cards.",Carry-forward from next-critical-images-2026-06-11-next-300.csv. Canonical app image. Reuse for translated pages unless visible localized text is required. Category=fintech; tier=T3.
1,25,tool-card,50,Professional Indemnity Insurance Calculator for Africa,professional-indemnity,professional-indemnity,/tools/professional-indemnity/,/assets/img/tools/,professional-indemnity.webp,800x450,WebP,"Create an AfroTools web-card banner for Professional Indemnity Insurance Calculator for Africa. simple doodle, soft pastel fills, black outline. Show practical African web app objects and forms. No readable text, no logos, no brand marks. 16:9, polished, useful for social cards.",Carry-forward from next-critical-images-2026-06-11-next-300.csv. Canonical app image. Reuse for translated pages unless visible localized text is required. Category=insurance; tier=T3.
1,26,tool-card,50,Security Emergency Fund,security-emergency-fund,security-emergency-fund,/tools/security-emergency-fund/,/assets/img/tools/,security-emergency-fund.webp,800x450,WebP,"Create an AfroTools web-card banner for Security Emergency Fund. flat paper texture illustration. Show practical African web app objects and forms. No readable text, no logos, no brand marks. 16:9, polished, useful for social cards.",Carry-forward from next-critical-images-2026-06-11-next-300.csv. Canonical app image. Reuse for translated pages unless visible localized text is required. Category=personal-finance; tier=T3.
1,27,afrostream-avatar,540,Faycel Sghir,faycel-sghir,faycel-sghir,/tools/afrostream/creator/faycel-sghir/,/assets/img/afrostream/creators/,faycel-sghir-avatar.webp,400x400,WebP,"Check reference first: https://instagram.com/faycelsghir. Backup reference: https://youtube.com/@FaycelSghirOfficiel. Create a close AfroStream cartoon avatar for Faycel Sghir, single-person caricature portrait. Use the online reference to capture recognizable public-profile cues: face shape, hairstyle, facial hair, glasses, skin tone, signature outfit colors, posture, and profile-photo vibe. Keep it a hand-drawn doodle/sketch avatar with soft pastel fills and clean black outline, not photorealistic and not a traced copy of one photo. Context: MA; Music, Entertainment; youtube. Centered 400x400 head-and-shoulders or badge-safe crop, expressive, no readable text, no platform UI, no exact logos.","Online reference required before generation. Primary reference: https://instagram.com/faycelsghir; backup: https://youtube.com/@FaycelSghirOfficiel. Use close cartoon/sketch resemblance from visible cues, no photorealistic copy, no platform UI. Closer avatar prompt: cartoon/sketch caricature with recognizable public-persona cues, avoiding single-photo copying, logos, and photorealism."
1,28,afrostream-avatar,540,Flenn,flenn,flenn,/tools/afrostream/creator/flenn/,/assets/img/afrostream/creators/,flenn-avatar.webp,400x400,WebP,"Check reference first: https://instagram.com/flenn. Backup reference: https://youtube.com/@flennofficial. Create a close AfroStream cartoon avatar for Flenn, single-person caricature portrait. Use the online reference to capture recognizable public-profile cues: face shape, hairstyle, facial hair, glasses, skin tone, signature outfit colors, posture, and profile-photo vibe. Keep it a hand-drawn doodle/sketch avatar with soft pastel fills and clean black outline, not photorealistic and not a traced copy of one photo. Context: DZ; Music, Entertainment; youtube. Centered 400x400 head-and-shoulders or badge-safe crop, expressive, no readable text, no platform UI, no exact logos.","Online reference required before generation. Primary reference: https://instagram.com/flenn; backup: https://youtube.com/@flennofficial. Use close cartoon/sketch resemblance from visible cues, no photorealistic copy, no platform UI. Closer avatar prompt: cartoon/sketch caricature with recognizable public-persona cues, avoiding single-photo copying, logos, and photorealism."
1,29,afrostream-avatar,539,Steve Mweusi,steve-mweusi,steve-mweusi,/tools/afrostream/creator/steve-mweusi/,/assets/img/afrostream/creators/,steve-mweusi-avatar.webp,400x400,WebP,"Check reference first: https://youtube.com/@SteveMweusi. Backup reference: https://www.google.com/search?tbm=isch&q=Steve%20Mweusi%20TZ%20official%20profile%20portrait. Create a close AfroStream cartoon avatar for Steve Mweusi, single-person caricature portrait. Use the online reference to capture recognizable public-profile cues: face shape, hairstyle, facial hair, glasses, skin tone, signature outfit colors, posture, and profile-photo vibe. Keep it a hand-drawn doodle/sketch avatar with soft pastel fills and clean black outline, not photorealistic and not a traced copy of one photo. Context: TZ; Entertainment, Comedy; youtube. Centered 400x400 head-and-shoulders or badge-safe crop, expressive, no readable text, no platform UI, no exact logos.","Online reference required before generation. Primary reference: https://youtube.com/@SteveMweusi; backup: https://www.google.com/search?tbm=isch&q=Steve%20Mweusi%20TZ%20official%20profile%20portrait. Use close cartoon/sketch resemblance from visible cues, no photorealistic copy, no platform UI. Closer avatar prompt: cartoon/sketch caricature with recognizable public-persona cues, avoiding single-photo copying, logos, and photorealism."
1,30,afrostream-avatar,536,Sauti Sol,sauti-sol,sauti-sol,/tools/afrostream/creator/sauti-sol/,/assets/img/afrostream/creators/,sauti-sol-avatar.webp,400x400,WebP,"Check reference first: https://instagram.com/sautisol. Backup reference: https://youtube.com/@SautiSol. Create a close AfroStream cartoon avatar for Sauti Sol, profile badge or group/channel caricature. Use the online reference to capture recognizable public-profile cues: logo colors, channel vibe, group silhouette, recurring outfit/color cues, and profile composition. Keep it a hand-drawn doodle/sketch avatar with soft pastel fills and clean black outline, not photorealistic and not a traced copy of one photo. Context: KE; Music, Entertainment; youtube. Centered 400x400 head-and-shoulders or badge-safe crop, expressive, no readable text, no platform UI, no exact logos.","Online reference required before generation. Primary reference: https://instagram.com/sautisol; backup: https://youtube.com/@SautiSol. Use close cartoon/sketch resemblance from visible cues, no photorealistic copy, no platform UI. Closer avatar prompt: cartoon/sketch caricature with recognizable public-persona cues, avoiding single-photo copying, logos, and photorealism."
1,31,afrostream-avatar,530,Innoss'B,innossb,innossb,/tools/afrostream/creator/innossb/,/assets/img/afrostream/creators/,innossb-avatar.webp,400x400,WebP,"Check reference first: https://instagram.com/innossb. Backup reference: https://youtube.com/@InnossBOfficial. Create a close AfroStream cartoon avatar for Innoss'B, single-person caricature portrait. Use the online reference to capture recognizable public-profile cues: face shape, hairstyle, facial hair, glasses, skin tone, signature outfit colors, posture, and profile-photo vibe. Keep it a hand-drawn doodle/sketch avatar with soft pastel fills and clean black outline, not photorealistic and not a traced copy of one photo. Context: CD; Music, Entertainment; youtube. Centered 400x400 head-and-shoulders or badge-safe crop, expressive, no readable text, no platform UI, no exact logos.","Online reference required before generation. Primary reference: https://instagram.com/innossb; backup: https://youtube.com/@InnossBOfficial. Use close cartoon/sketch resemblance from visible cues, no photorealistic copy, no platform UI. Closer avatar prompt: cartoon/sketch caricature with recognizable public-persona cues, avoiding single-photo copying, logos, and photorealism."
1,32,afrostream-avatar,530,L7or,l7or,l7or,/tools/afrostream/creator/l7or/,/assets/img/afrostream/creators/,l7or-avatar.webp,400x400,WebP,"Check reference first: https://instagram.com/l7or75. Backup reference: https://youtube.com/@L7or. Create a close AfroStream cartoon avatar for L7or, single-person caricature portrait. Use the online reference to capture recognizable public-profile cues: face shape, hairstyle, facial hair, glasses, skin tone, signature outfit colors, posture, and profile-photo vibe. Keep it a hand-drawn doodle/sketch avatar with soft pastel fills and clean black outline, not photorealistic and not a traced copy of one photo. Context: MA; Music, Entertainment; youtube. Centered 400x400 head-and-shoulders or badge-safe crop, expressive, no readable text, no platform UI, no exact logos.","Online reference required before generation. Primary reference: https://instagram.com/l7or75; backup: https://youtube.com/@L7or. Use close cartoon/sketch resemblance from visible cues, no photorealistic copy, no platform UI. Closer avatar prompt: cartoon/sketch caricature with recognizable public-persona cues, avoiding single-photo copying, logos, and photorealism."
1,33,afrostream-avatar,526,Stonebwoy,stonebwoy,stonebwoy,/tools/afrostream/creator/stonebwoy/,/assets/img/afrostream/creators/,stonebwoy-avatar.webp,400x400,WebP,"Check reference first: https://instagram.com/stonebwoyb. Backup reference: https://youtube.com/@Stonebwoy. Create a close AfroStream cartoon avatar for Stonebwoy, single-person caricature portrait. Use the online reference to capture recognizable public-profile cues: face shape, hairstyle, facial hair, glasses, skin tone, signature outfit colors, posture, and profile-photo vibe. Keep it a hand-drawn doodle/sketch avatar with soft pastel fills and clean black outline, not photorealistic and not a traced copy of one photo. Context: GH; Music, Entertainment; youtube. Centered 400x400 head-and-shoulders or badge-safe crop, expressive, no readable text, no platform UI, no exact logos.","Online reference required before generation. Primary reference: https://instagram.com/stonebwoyb; backup: https://youtube.com/@Stonebwoy. Use close cartoon/sketch resemblance from visible cues, no photorealistic copy, no platform UI. Closer avatar prompt: cartoon/sketch caricature with recognizable public-persona cues, avoiding single-photo copying, logos, and photorealism."
1,34,afrostream-avatar,526,Ambassadors of Christ,ambassadors-of-christ,ambassadors-of-christ,/tools/afrostream/creator/ambassadors-of-christ/,/assets/img/afrostream/creators/,ambassadors-of-christ-avatar.webp,400x400,WebP,"Check reference first: https://youtube.com/@AmbassadorsOfChristChoir. Backup reference: https://www.google.com/search?tbm=isch&q=Ambassadors%20of%20Christ%20RW%20official%20profile%20portrait. Create a close AfroStream cartoon avatar for Ambassadors of Christ, single-person caricature portrait. Use the online reference to capture recognizable public-profile cues: face shape, hairstyle, facial hair, glasses, skin tone, signature outfit colors, posture, and profile-photo vibe. Keep it a hand-drawn doodle/sketch avatar with soft pastel fills and clean black outline, not photorealistic and not a traced copy of one photo. Context: RW; Music, Faith; youtube. Centered 400x400 head-and-shoulders or badge-safe crop, expressive, no readable text, no platform UI, no exact logos.","Online reference required before generation. Primary reference: https://youtube.com/@AmbassadorsOfChristChoir; backup: https://www.google.com/search?tbm=isch&q=Ambassadors%20of%20Christ%20RW%20official%20profile%20portrait. Use close cartoon/sketch resemblance from visible cues, no photorealistic copy, no platform UI. Closer avatar prompt: cartoon/sketch caricature with recognizable public-persona cues, avoiding single-photo copying, logos, and photorealism."
1,35,afrostream-avatar,526,Pastor Elvis Agyemang,pastor-elvis-agyemang,pastor-elvis-agyemang,/tools/afrostream/creator/pastor-elvis-agyemang/,/assets/img/afrostream/creators/,pastor-elvis-agyemang-avatar.webp,400x400,WebP,"Check reference first: https://youtube.com/@PastorElvisAgyemang. Backup reference: https://www.google.com/search?tbm=isch&q=Pastor%20Elvis%20Agyemang%20GH%20official%20profile%20portrait. Create a close AfroStream cartoon avatar for Pastor Elvis Agyemang, single-person caricature portrait. Use the online reference to capture recognizable public-profile cues: face shape, hairstyle, facial hair, glasses, skin tone, signature outfit colors, posture, and profile-photo vibe. Keep it a hand-drawn doodle/sketch avatar with soft pastel fills and clean black outline, not photorealistic and not a traced copy of one photo. Context: GH; Faith, Prayer, Motivation; youtube. Centered 400x400 head-and-shoulders or badge-safe crop, expressive, no readable text, no platform UI, no exact logos.","Online reference required before generation. Primary reference: https://youtube.com/@PastorElvisAgyemang; backup: https://www.google.com/search?tbm=isch&q=Pastor%20Elvis%20Agyemang%20GH%20official%20profile%20portrait. Use close cartoon/sketch resemblance from visible cues, no photorealistic copy, no platform UI. Closer avatar prompt: cartoon/sketch caricature with recognizable public-persona cues, avoiding single-photo copying, logos, and photorealism."
1,36,afrostream-avatar,524,Lasizwe,lasizwe,lasizwe,/tools/afrostream/creator/lasizwe/,/assets/img/afrostream/creators/,lasizwe-avatar.webp,400x400,WebP,"Check reference first: https://instagram.com/lasizwe. Backup reference: https://youtube.com/@LasizweDambuza. Create a close AfroStream cartoon avatar for Lasizwe, single-person caricature portrait. Use the online reference to capture recognizable public-profile cues: face shape, hairstyle, facial hair, glasses, skin tone, signature outfit colors, posture, and profile-photo vibe. Keep it a hand-drawn doodle/sketch avatar with soft pastel fills and clean black outline, not photorealistic and not a traced copy of one photo. Context: ZA; Comedy, Entertainment, Lifestyle; youtube. Centered 400x400 head-and-shoulders or badge-safe crop, expressive, no readable text, no platform UI, no exact logos.","Online reference required before generation. Primary reference: https://instagram.com/lasizwe; backup: https://youtube.com/@LasizweDambuza. Use close cartoon/sketch resemblance from visible cues, no photorealistic copy, no platform UI. Closer avatar prompt: cartoon/sketch caricature with recognizable public-persona cues, avoiding single-photo copying, logos, and photorealism."
1,37,afrostream-avatar,523,Teddy Afro,teddy-afro,teddy-afro,/tools/afrostream/creator/teddy-afro/,/assets/img/afrostream/creators/,teddy-afro-avatar.webp,400x400,WebP,"Check reference first: https://youtube.com/@TeddyAfroOfficial. Backup reference: https://www.google.com/search?tbm=isch&q=Teddy%20Afro%20ET%20official%20profile%20portrait. Create a close AfroStream cartoon avatar for Teddy Afro, single-person caricature portrait. Use the online reference to capture recognizable public-profile cues: face shape, hairstyle, facial hair, glasses, skin tone, signature outfit colors, posture, and profile-photo vibe. Keep it a hand-drawn doodle/sketch avatar with soft pastel fills and clean black outline, not photorealistic and not a traced copy of one photo. Context: ET; Music, Entertainment; youtube. Centered 400x400 head-and-shoulders or badge-safe crop, expressive, no readable text, no platform UI, no exact logos.","Online reference required before generation. Primary reference: https://youtube.com/@TeddyAfroOfficial; backup: https://www.google.com/search?tbm=isch&q=Teddy%20Afro%20ET%20official%20profile%20portrait. Use close cartoon/sketch resemblance from visible cues, no photorealistic copy, no platform UI. Closer avatar prompt: cartoon/sketch caricature with recognizable public-persona cues, avoiding single-photo copying, logos, and photorealism."
1,38,afrostream-avatar,520,Youssou N'Dour,youssou-ndour,youssou-ndour,/tools/afrostream/creator/youssou-ndour/,/assets/img/afrostream/creators/,youssou-ndour-avatar.webp,400x400,WebP,"Check reference first: https://instagram.com/youssounofficial. Backup reference: https://youtube.com/@YoussouNdour. Create a close AfroStream cartoon avatar for Youssou N'Dour, single-person caricature portrait. Use the online reference to capture recognizable public-profile cues: face shape, hairstyle, facial hair, glasses, skin tone, signature outfit colors, posture, and profile-photo vibe. Keep it a hand-drawn doodle/sketch avatar with soft pastel fills and clean black outline, not photorealistic and not a traced copy of one photo. Context: SN; Music, Entertainment; youtube. Centered 400x400 head-and-shoulders or badge-safe crop, expressive, no readable text, no platform UI, no exact logos.","Online reference required before generation. Primary reference: https://instagram.com/youssounofficial; backup: https://youtube.com/@YoussouNdour. Use close cartoon/sketch resemblance from visible cues, no photorealistic copy, no platform UI. Closer avatar prompt: cartoon/sketch caricature with recognizable public-persona cues, avoiding single-photo copying, logos, and photorealism."
