batch,batch_index,type,priority,name,slug,source_id,route,save_folder,filename,dimensions,format,prompt,notes
2,211,afrostream-avatar,82,Akothee avatar,akothee,akothee,/tools/afrostream/creator.html?slug=akothee,/assets/img/afrostream/creators/,akothee-avatar.webp,400x400,WebP,"Check reference first: https://instagram.com/akotheke. Backup reference: https://youtube.com/@estherakoth. Create a close AfroStream cartoon avatar for Akothee, single-person caricature portrait. Use the online reference to capture recognizable public-profile cues: face shape, hairstyle, facial hair, glasses, skin tone, signature outfit colors, posture, and profile-photo vibe. Keep it a hand-drawn doodle/sketch avatar with soft pastel fills and clean black outline, not photorealistic and not a traced copy of one photo. Context: KE; Music, Lifestyle, Motivation; youtube. Centered 400x400 head-and-shoulders or badge-safe crop, expressive, no readable text, no platform UI, no exact logos.","Online reference required before generation. Primary reference: https://instagram.com/akotheke; backup: https://youtube.com/@estherakoth. Use close cartoon/sketch resemblance from visible cues, no photorealistic copy, no platform UI. Closer avatar prompt: cartoon/sketch caricature with recognizable public-persona cues, avoiding single-photo copying, logos, and photorealism."
2,212,afrostream-avatar,82,Rosina Sharon avatar,rosina-sharon,rosina-sharon,/tools/afrostream/creator.html?slug=rosina-sharon,/assets/img/afrostream/creators/,rosina-sharon-avatar.webp,400x400,WebP,"Check reference first: https://instagram.com/rosinasharon. Backup reference: https://youtube.com/@RosinaSharon. Create a close AfroStream cartoon avatar for Rosina Sharon, single-person caricature portrait. Use the online reference to capture recognizable public-profile cues: face shape, hairstyle, facial hair, glasses, skin tone, signature outfit colors, posture, and profile-photo vibe. Keep it a hand-drawn doodle/sketch avatar with soft pastel fills and clean black outline, not photorealistic and not a traced copy of one photo. Context: KE; Beauty, Fashion, Lifestyle; youtube. Centered 400x400 head-and-shoulders or badge-safe crop, expressive, no readable text, no platform UI, no exact logos.","Online reference required before generation. Primary reference: https://instagram.com/rosinasharon; backup: https://youtube.com/@RosinaSharon. Use close cartoon/sketch resemblance from visible cues, no photorealistic copy, no platform UI. Closer avatar prompt: cartoon/sketch caricature with recognizable public-persona cues, avoiding single-photo copying, logos, and photorealism."
2,213,afrostream-avatar,82,MCA Tricky avatar,mca-tricky,mca-tricky,/tools/afrostream/creator.html?slug=mca-tricky,/assets/img/afrostream/creators/,mca-tricky-avatar.webp,400x400,WebP,"Check reference first: https://instagram.com/mcatricky. Backup reference: https://youtube.com/@McaTrickyOfficial. Create a close AfroStream cartoon avatar for MCA Tricky, single-person caricature portrait. Use the online reference to capture recognizable public-profile cues: face shape, hairstyle, facial hair, glasses, skin tone, signature outfit colors, posture, and profile-photo vibe. Keep it a hand-drawn doodle/sketch avatar with soft pastel fills and clean black outline, not photorealistic and not a traced copy of one photo. Context: KE; Comedy, Entertainment; youtube. Centered 400x400 head-and-shoulders or badge-safe crop, expressive, no readable text, no platform UI, no exact logos.","Online reference required before generation. Primary reference: https://instagram.com/mcatricky; backup: https://youtube.com/@McaTrickyOfficial. Use close cartoon/sketch resemblance from visible cues, no photorealistic copy, no platform UI. Closer avatar prompt: cartoon/sketch caricature with recognizable public-persona cues, avoiding single-photo copying, logos, and photorealism."
2,214,afrostream-avatar,82,Guardian Angel avatar,guardian-angel,guardian-angel,/tools/afrostream/creator.html?slug=guardian-angel,/assets/img/afrostream/creators/,guardian-angel-avatar.webp,400x400,WebP,"Check reference first: https://instagram.com/guardiannangel. Backup reference: https://youtube.com/@GuardianAngelGlobalOfficial. Create a close AfroStream cartoon avatar for Guardian Angel, single-person caricature portrait. Use the online reference to capture recognizable public-profile cues: face shape, hairstyle, facial hair, glasses, skin tone, signature outfit colors, posture, and profile-photo vibe. Keep it a hand-drawn doodle/sketch avatar with soft pastel fills and clean black outline, not photorealistic and not a traced copy of one photo. Context: KE; Music, Faith; youtube. Centered 400x400 head-and-shoulders or badge-safe crop, expressive, no readable text, no platform UI, no exact logos.","Online reference required before generation. Primary reference: https://instagram.com/guardiannangel; backup: https://youtube.com/@GuardianAngelGlobalOfficial. Use close cartoon/sketch resemblance from visible cues, no photorealistic copy, no platform UI. Closer avatar prompt: cartoon/sketch caricature with recognizable public-persona cues, avoiding single-photo copying, logos, and photorealism."
2,215,afrostream-avatar,82,Presenter Ali avatar,presenter-ali,presenter-ali,/tools/afrostream/creator.html?slug=presenter-ali,/assets/img/afrostream/creators/,presenter-ali-avatar.webp,400x400,WebP,"Check reference first: https://instagram.com/presenterali. Backup reference: https://youtube.com/@PresenterAli. Create a close AfroStream cartoon avatar for Presenter Ali, single-person caricature portrait. Use the online reference to capture recognizable public-profile cues: face shape, hairstyle, facial hair, glasses, skin tone, signature outfit colors, posture, and profile-photo vibe. Keep it a hand-drawn doodle/sketch avatar with soft pastel fills and clean black outline, not photorealistic and not a traced copy of one photo. Context: KE; Business, Education; youtube. Centered 400x400 head-and-shoulders or badge-safe crop, expressive, no readable text, no platform UI, no exact logos.","Online reference required before generation. Primary reference: https://instagram.com/presenterali; backup: https://youtube.com/@PresenterAli. Use close cartoon/sketch resemblance from visible cues, no photorealistic copy, no platform UI. Closer avatar prompt: cartoon/sketch caricature with recognizable public-persona cues, avoiding single-photo copying, logos, and photorealism."
2,216,afrostream-avatar,82,Alex Mathenge avatar,alex-mathenge,alex-mathenge,/tools/afrostream/creator.html?slug=alex-mathenge,/assets/img/afrostream/creators/,alex-mathenge-avatar.webp,400x400,WebP,"Check reference first: https://youtube.com/@AlexMathenge. Backup reference: https://www.google.com/search?tbm=isch&q=Alex%20Mathenge%20KE%20official%20profile%20portrait. Create a close AfroStream cartoon avatar for Alex Mathenge, single-person caricature portrait. Use the online reference to capture recognizable public-profile cues: face shape, hairstyle, facial hair, glasses, skin tone, signature outfit colors, posture, and profile-photo vibe. Keep it a hand-drawn doodle/sketch avatar with soft pastel fills and clean black outline, not photorealistic and not a traced copy of one photo. Context: KE; Comedy, Entertainment; youtube. Centered 400x400 head-and-shoulders or badge-safe crop, expressive, no readable text, no platform UI, no exact logos.","Online reference required before generation. Primary reference: https://youtube.com/@AlexMathenge; backup: https://www.google.com/search?tbm=isch&q=Alex%20Mathenge%20KE%20official%20profile%20portrait. Use close cartoon/sketch resemblance from visible cues, no photorealistic copy, no platform UI. Closer avatar prompt: cartoon/sketch caricature with recognizable public-persona cues, avoiding single-photo copying, logos, and photorealism."
2,217,afrostream-avatar,82,HackerSploit avatar,hackersploit,hackersploit,/tools/afrostream/creator.html?slug=hackersploit,/assets/img/afrostream/creators/,hackersploit-avatar.webp,400x400,WebP,"Check reference first: https://youtube.com/@HackerSploit. Backup reference: https://x.com/HackerSploit. Create a close AfroStream cartoon avatar for HackerSploit, single-person caricature portrait. Use the online reference to capture recognizable public-profile cues: face shape, hairstyle, facial hair, glasses, skin tone, signature outfit colors, posture, and profile-photo vibe. Keep it a hand-drawn doodle/sketch avatar with soft pastel fills and clean black outline, not photorealistic and not a traced copy of one photo. Context: KE; Tech, Education, Coding; youtube. Centered 400x400 head-and-shoulders or badge-safe crop, expressive, no readable text, no platform UI, no exact logos.","Online reference required before generation. Primary reference: https://youtube.com/@HackerSploit; backup: https://x.com/HackerSploit. Use close cartoon/sketch resemblance from visible cues, no photorealistic copy, no platform UI. Closer avatar prompt: cartoon/sketch caricature with recognizable public-persona cues, avoiding single-photo copying, logos, and photorealism."
2,218,afrostream-avatar,82,Afronita avatar,afronita,afronita,/tools/afrostream/creator.html?slug=afronita,/assets/img/afrostream/creators/,afronita-avatar.webp,400x400,WebP,"Check reference first: https://instagram.com/afronitaaa. Backup reference: https://youtube.com/@afronitaaa. Create a close AfroStream cartoon avatar for Afronita, single-person caricature portrait. Use the online reference to capture recognizable public-profile cues: face shape, hairstyle, facial hair, glasses, skin tone, signature outfit colors, posture, and profile-photo vibe. Keep it a hand-drawn doodle/sketch avatar with soft pastel fills and clean black outline, not photorealistic and not a traced copy of one photo. Context: GH; Dance, Entertainment; youtube. Centered 400x400 head-and-shoulders or badge-safe crop, expressive, no readable text, no platform UI, no exact logos.","Online reference required before generation. Primary reference: https://instagram.com/afronitaaa; backup: https://youtube.com/@afronitaaa. Use close cartoon/sketch resemblance from visible cues, no photorealistic copy, no platform UI. Closer avatar prompt: cartoon/sketch caricature with recognizable public-persona cues, avoiding single-photo copying, logos, and photorealism."
2,219,afrostream-avatar,82,Dan Kwaku Yeboah avatar,dan-kwaku-yeboah,dan-kwaku-yeboah,/tools/afrostream/creator.html?slug=dan-kwaku-yeboah,/assets/img/afrostream/creators/,dan-kwaku-yeboah-avatar.webp,400x400,WebP,"Check reference first: https://youtube.com/@DKYGH. Backup reference: https://x.com/DanKwakuYeboah. Create a close AfroStream cartoon avatar for Dan Kwaku Yeboah, single-person caricature portrait. Use the online reference to capture recognizable public-profile cues: face shape, hairstyle, facial hair, glasses, skin tone, signature outfit colors, posture, and profile-photo vibe. Keep it a hand-drawn doodle/sketch avatar with soft pastel fills and clean black outline, not photorealistic and not a traced copy of one photo. Context: GH; Sports, News; youtube. Centered 400x400 head-and-shoulders or badge-safe crop, expressive, no readable text, no platform UI, no exact logos.","Online reference required before generation. Primary reference: https://youtube.com/@DKYGH; backup: https://x.com/DanKwakuYeboah. Use close cartoon/sketch resemblance from visible cues, no photorealistic copy, no platform UI. Closer avatar prompt: cartoon/sketch caricature with recognizable public-persona cues, avoiding single-photo copying, logos, and photorealism."
2,220,afrostream-avatar,82,Bobi Wine avatar,bobi-wine,bobi-wine,/tools/afrostream/creator.html?slug=bobi-wine,/assets/img/afrostream/creators/,bobi-wine-avatar.webp,400x400,WebP,"Check reference first: https://instagram.com/bobiwinebobi. Backup reference: https://youtube.com/@BobiWineOfficial. Create a close AfroStream cartoon avatar for Bobi Wine, single-person caricature portrait. Use the online reference to capture recognizable public-profile cues: face shape, hairstyle, facial hair, glasses, skin tone, signature outfit colors, posture, and profile-photo vibe. Keep it a hand-drawn doodle/sketch avatar with soft pastel fills and clean black outline, not photorealistic and not a traced copy of one photo. Context: UG; Music, News, Entertainment; youtube. Centered 400x400 head-and-shoulders or badge-safe crop, expressive, no readable text, no platform UI, no exact logos.","Online reference required before generation. Primary reference: https://instagram.com/bobiwinebobi; backup: https://youtube.com/@BobiWineOfficial. Use close cartoon/sketch resemblance from visible cues, no photorealistic copy, no platform UI. Closer avatar prompt: cartoon/sketch caricature with recognizable public-persona cues, avoiding single-photo copying, logos, and photorealism."
2,221,afrostream-avatar,82,Sheebah Karungi avatar,sheebah-karungi,sheebah-karungi,/tools/afrostream/creator.html?slug=sheebah-karungi,/assets/img/afrostream/creators/,sheebah-karungi-avatar.webp,400x400,WebP,"Check reference first: https://instagram.com/sheebahkarungi. Backup reference: https://youtube.com/@SheebahKarungi. Create a close AfroStream cartoon avatar for Sheebah Karungi, single-person caricature portrait. Use the online reference to capture recognizable public-profile cues: face shape, hairstyle, facial hair, glasses, skin tone, signature outfit colors, posture, and profile-photo vibe. Keep it a hand-drawn doodle/sketch avatar with soft pastel fills and clean black outline, not photorealistic and not a traced copy of one photo. Context: UG; Music, Dance, Entertainment; youtube. Centered 400x400 head-and-shoulders or badge-safe crop, expressive, no readable text, no platform UI, no exact logos.","Online reference required before generation. Primary reference: https://instagram.com/sheebahkarungi; backup: https://youtube.com/@SheebahKarungi. Use close cartoon/sketch resemblance from visible cues, no photorealistic copy, no platform UI. Closer avatar prompt: cartoon/sketch caricature with recognizable public-persona cues, avoiding single-photo copying, logos, and photorealism."
2,222,afrostream-avatar,82,Stanley Enow avatar,stanley-enow,stanley-enow,/tools/afrostream/creator.html?slug=stanley-enow,/assets/img/afrostream/creators/,stanley-enow-avatar.webp,400x400,WebP,"Check reference first: https://instagram.com/stanleyenow. Backup reference: https://youtube.com/@StanleyEnow. Create a close AfroStream cartoon avatar for Stanley Enow, single-person caricature portrait. Use the online reference to capture recognizable public-profile cues: face shape, hairstyle, facial hair, glasses, skin tone, signature outfit colors, posture, and profile-photo vibe. Keep it a hand-drawn doodle/sketch avatar with soft pastel fills and clean black outline, not photorealistic and not a traced copy of one photo. Context: CM; Music, Entertainment; youtube. Centered 400x400 head-and-shoulders or badge-safe crop, expressive, no readable text, no platform UI, no exact logos.","Online reference required before generation. Primary reference: https://instagram.com/stanleyenow; backup: https://youtube.com/@StanleyEnow. Use close cartoon/sketch resemblance from visible cues, no photorealistic copy, no platform UI. Closer avatar prompt: cartoon/sketch caricature with recognizable public-persona cues, avoiding single-photo copying, logos, and photorealism."
2,223,afrostream-avatar,82,TENOR avatar,tenor-cm,tenor-cm,/tools/afrostream/creator.html?slug=tenor-cm,/assets/img/afrostream/creators/,tenor-cm-avatar.webp,400x400,WebP,"Check reference first: https://instagram.com/tenor_officiel. Backup reference: https://youtube.com/@TenorMusik. Create a close AfroStream cartoon avatar for TENOR, single-person caricature portrait. Use the online reference to capture recognizable public-profile cues: face shape, hairstyle, facial hair, glasses, skin tone, signature outfit colors, posture, and profile-photo vibe. Keep it a hand-drawn doodle/sketch avatar with soft pastel fills and clean black outline, not photorealistic and not a traced copy of one photo. Context: CM; Music, Entertainment; youtube. Centered 400x400 head-and-shoulders or badge-safe crop, expressive, no readable text, no platform UI, no exact logos.","Online reference required before generation. Primary reference: https://instagram.com/tenor_officiel; backup: https://youtube.com/@TenorMusik. Use close cartoon/sketch resemblance from visible cues, no photorealistic copy, no platform UI. Closer avatar prompt: cartoon/sketch caricature with recognizable public-persona cues, avoiding single-photo copying, logos, and photorealism."
2,224,afrostream-avatar,82,Lady Ponce avatar,lady-ponce,lady-ponce,/tools/afrostream/creator.html?slug=lady-ponce,/assets/img/afrostream/creators/,lady-ponce-avatar.webp,400x400,WebP,"Check reference first: https://instagram.com/ladyponce_officiel. Backup reference: https://youtube.com/@LadyPonceOfficiel. Create a close AfroStream cartoon avatar for Lady Ponce, single-person caricature portrait. Use the online reference to capture recognizable public-profile cues: face shape, hairstyle, facial hair, glasses, skin tone, signature outfit colors, posture, and profile-photo vibe. Keep it a hand-drawn doodle/sketch avatar with soft pastel fills and clean black outline, not photorealistic and not a traced copy of one photo. Context: CM; Music, Dance, Entertainment; youtube. Centered 400x400 head-and-shoulders or badge-safe crop, expressive, no readable text, no platform UI, no exact logos.","Online reference required before generation. Primary reference: https://instagram.com/ladyponce_officiel; backup: https://youtube.com/@LadyPonceOfficiel. Use close cartoon/sketch resemblance from visible cues, no photorealistic copy, no platform UI. Closer avatar prompt: cartoon/sketch caricature with recognizable public-persona cues, avoiding single-photo copying, logos, and photorealism."
2,225,afrostream-avatar,82,Betty Christy avatar,betty-christy,betty-christy,/tools/afrostream/creator.html?slug=betty-christy,/assets/img/afrostream/creators/,betty-christy-avatar.webp,400x400,WebP,"Check reference first: https://instagram.com/bettychristy_. Backup reference: https://www.google.com/search?tbm=isch&q=Betty%20Christy%20CM%20official%20profile%20portrait. Create a close AfroStream cartoon avatar for Betty Christy, single-person caricature portrait. Use the online reference to capture recognizable public-profile cues: face shape, hairstyle, facial hair, glasses, skin tone, signature outfit colors, posture, and profile-photo vibe. Keep it a hand-drawn doodle/sketch avatar with soft pastel fills and clean black outline, not photorealistic and not a traced copy of one photo. Context: CM; Beauty, Lifestyle; instagram. Centered 400x400 head-and-shoulders or badge-safe crop, expressive, no readable text, no platform UI, no exact logos.","Online reference required before generation. Primary reference: https://instagram.com/bettychristy_; backup: https://www.google.com/search?tbm=isch&q=Betty%20Christy%20CM%20official%20profile%20portrait. Use close cartoon/sketch resemblance from visible cues, no photorealistic copy, no platform UI. Closer avatar prompt: cartoon/sketch caricature with recognizable public-persona cues, avoiding single-photo copying, logos, and photorealism."
2,226,afrostream-avatar,82,Awesome Lalpdy avatar,awesome-lalpdy,awesome-lalpdy,/tools/afrostream/creator.html?slug=awesome-lalpdy,/assets/img/afrostream/creators/,awesome-lalpdy-avatar.webp,400x400,WebP,"Check reference first: https://youtube.com/@AwesomeLalpdy. Backup reference: https://www.google.com/search?tbm=isch&q=Awesome%20Lalpdy%20CM%20official%20profile%20portrait. Create a close AfroStream cartoon avatar for Awesome Lalpdy, single-person caricature portrait. Use the online reference to capture recognizable public-profile cues: face shape, hairstyle, facial hair, glasses, skin tone, signature outfit colors, posture, and profile-photo vibe. Keep it a hand-drawn doodle/sketch avatar with soft pastel fills and clean black outline, not photorealistic and not a traced copy of one photo. Context: CM; Entertainment, Tech; youtube. Centered 400x400 head-and-shoulders or badge-safe crop, expressive, no readable text, no platform UI, no exact logos.","Online reference required before generation. Primary reference: https://youtube.com/@AwesomeLalpdy; backup: https://www.google.com/search?tbm=isch&q=Awesome%20Lalpdy%20CM%20official%20profile%20portrait. Use close cartoon/sketch resemblance from visible cues, no photorealistic copy, no platform UI. Closer avatar prompt: cartoon/sketch caricature with recognizable public-persona cues, avoiding single-photo copying, logos, and photorealism."
