batch_index,type,priority,name,slug,source_id,route,save_folder,filename,dimensions,format,prompt,notes
11,tool-card,98,SA Transfer Tariff Calculator,za-transfer-duty,za-transfer-duty,/tools/za-transfer-duty/,/assets/img/tools/,za-transfer-duty.webp,800x450,WebP,"Create an AfroTools web-card banner for SA Transfer Tariff Calculator. minimal icon-and-object still life, bold silhouette, soft shadow, calm professional feel. Show money planning, payroll, tax forms, calculator, receipts, local currency notes. No readable text, no logos, no brand marks, no UI labels. 16:9, polished, inspectable, social-share friendly.",Canonical image for English/app route. Reuse this same image for translated copies unless the graphic itself needs visible localized words. Category=financial; tier=T2.
12,tool-card,98,Nigeria Land Use Charge Calculator,ng-land-use,ng-land-use,/tools/ng-land-use/,/assets/img/tools/,ng-land-use.webp,800x450,WebP,"Create an AfroTools web-card banner for Nigeria Land Use Charge Calculator. photo-real workspace scene with hands and everyday objects, no logos and no readable UI text. Show money planning, payroll, tax forms, calculator, receipts, local currency notes. No readable text, no logos, no brand marks, no UI labels. 16:9, polished, inspectable, social-share friendly.",Canonical image for English/app route. Reuse this same image for translated copies unless the graphic itself needs visible localized words. Category=financial; tier=T2.
13,tool-card,95,Bill of Quantities Generator,boq-gen,boq-gen,/tools/boq-generator,/assets/img/tools/,boq-gen.webp,800x450,WebP,"Create an AfroTools web-card banner for Bill of Quantities Generator. ink sketch with watercolor wash, black outline, airy composition, no text. Show tools, measurement tape, blueprint, material samples. No readable text, no logos, no brand marks, no UI labels. 16:9, polished, inspectable, social-share friendly.",Canonical image for English/app route. Reuse this same image for translated copies unless the graphic itself needs visible localized words. Category=engineering; tier=T1.
14,tool-card,93,Crop Yield Calculator,crop-yield,crop-yield,/tools/crop-yield,/assets/img/tools/,crop-yield.webp,800x450,WebP,"Create an AfroTools web-card banner for Crop Yield Calculator. modern dashboard mockup scene with abstract charts and forms, no readable text. Show farm notebook, produce, soil, seeds, irrigation line, practical field planning. No readable text, no logos, no brand marks, no UI labels. 16:9, polished, inspectable, social-share friendly.",Canonical image for English/app route. Reuse this same image for translated copies unless the graphic itself needs visible localized words. Category=agriculture; tier=T1.
15,tool-card,88,Data Format Converter,data-converter,data-converter,/tools/data-converter/,/assets/img/tools/,data-converter.webp,800x450,WebP,"Create an AfroTools web-card banner for Data Format Converter. flat vector-like illustration with tactile paper texture, restrained African color accents. Show code editor as abstract blocks, API cards, terminal shapes, no readable code. No readable text, no logos, no brand marks, no UI labels. 16:9, polished, inspectable, social-share friendly.",Canonical image for English/app route. Reuse this same image for translated copies unless the graphic itself needs visible localized words. Category=developer; tier=T3.
16,tool-card,84,Markdown Editor,markdown-editor,markdown-editor,/tools/markdown-editor/,/assets/img/tools/,markdown-editor.webp,800x450,WebP,"Create an AfroTools web-card banner for Markdown Editor. minimal icon-and-object still life, bold silhouette, soft shadow, calm professional feel. Show code editor as abstract blocks, API cards, terminal shapes, no readable code. No readable text, no logos, no brand marks, no UI labels. 16:9, polished, inspectable, social-share friendly.",Canonical image for English/app route. Reuse this same image for translated copies unless the graphic itself needs visible localized words. Category=developer; tier=T3.
17,tool-card,84,Markup & Selling Price Calculator,markup-calc,markup-calc,/tools/markup-calc/,/assets/img/tools/,markup-calc.webp,800x450,WebP,"Create an AfroTools web-card banner for Markup & Selling Price Calculator. modern dashboard mockup scene with abstract charts and forms, no readable text. Show market stall, invoice, phone payment, package, small business counter. No readable text, no logos, no brand marks, no UI labels. 16:9, polished, inspectable, social-share friendly.",Canonical image for English/app route. Reuse this same image for translated copies unless the graphic itself needs visible localized words. Category=ecommerce; tier=T3.
18,tool-card,84,Ovulation & Fertility Calculator,ovulation-calc,ovulation-calc,/tools/ovulation-calc/,/assets/img/tools/,ovulation-calc.webp,800x450,WebP,"Create an AfroTools web-card banner for Ovulation & Fertility Calculator. ink sketch with watercolor wash, black outline, airy composition, no text. Show health checklist, clinic desk, family wellness objects, no medical claims text. No readable text, no logos, no brand marks, no UI labels. 16:9, polished, inspectable, social-share friendly.",Canonical image for English/app route. Reuse this same image for translated copies unless the graphic itself needs visible localized words. Category=health; tier=T3.
19,tool-card,83,Roofing Material Calculator,roofing-calc,roofing-calc,/tools/roof-calculator/,/assets/img/tools/,roofing-calc.webp,800x450,WebP,"Create an AfroTools web-card banner for Roofing Material Calculator. ink sketch with watercolor wash, black outline, airy composition, no text. Show tools, measurement tape, blueprint, material samples. No readable text, no logos, no brand marks, no UI labels. 16:9, polished, inspectable, social-share friendly.",Canonical image for English/app route. Reuse this same image for translated copies unless the graphic itself needs visible localized words. Category=engineering; tier=T3.
20,tool-card,82,SEO Meta Tag Generator,meta-tag-generator,meta-tag-generator,/tools/meta-tag-generator/,/assets/img/tools/,meta-tag-generator.webp,800x450,WebP,"Create an AfroTools web-card banner for SEO Meta Tag Generator. photo-real workspace scene with hands and everyday objects, no logos and no readable UI text. Show code editor as abstract blocks, API cards, terminal shapes, no readable code. No readable text, no logos, no brand marks, no UI labels. 16:9, polished, inspectable, social-share friendly.",Canonical image for English/app route. Reuse this same image for translated copies unless the graphic itself needs visible localized words. Category=developer; tier=T3.
21,tool-card,81,Punguzo Calculator,discount-calc,discount-calc,/tools/discount-calc/,/assets/img/tools/,discount-calc.webp,800x450,WebP,"Create an AfroTools web-card banner for Punguzo Calculator. ink sketch with watercolor wash, black outline, airy composition, no text. Show market stall, invoice, phone payment, package, small business counter. No readable text, no logos, no brand marks, no UI labels. 16:9, polished, inspectable, social-share friendly.",Canonical image for English/app route. Reuse this same image for translated copies unless the graphic itself needs visible localized words. Category=ecommerce; tier=T3.
22,tool-card,81,Water Tank Sizing Calculator,water-tank,water-tank,/tools/water-tank/,/assets/img/tools/,water-tank.webp,800x450,WebP,"Create an AfroTools web-card banner for Water Tank Sizing Calculator. photo-real workspace scene with hands and everyday objects, no logos and no readable UI text. Show tools, measurement tape, blueprint, material samples. No readable text, no logos, no brand marks, no UI labels. 16:9, polished, inspectable, social-share friendly.",Canonical image for English/app route. Reuse this same image for translated copies unless the graphic itself needs visible localized words. Category=engineering; tier=T3.
23,tool-card,80,SQL Formatter & Validator,sql-formatter,sql-formatter,/tools/sql-formatter/,/assets/img/tools/,sql-formatter.webp,800x450,WebP,"Create an AfroTools web-card banner for SQL Formatter & Validator. soft 3D clay illustration, rounded but not childish, compact product-card layout. Show code editor as abstract blocks, API cards, terminal shapes, no readable code. No readable text, no logos, no brand marks, no UI labels. 16:9, polished, inspectable, social-share friendly.",Canonical image for English/app route. Reuse this same image for translated copies unless the graphic itself needs visible localized words. Category=developer; tier=T3.
24,tool-card,80,Malaria Risk by Region,malaria-risk,malaria-risk,/tools/malaria-risk/,/assets/img/tools/,malaria-risk.webp,800x450,WebP,"Create an AfroTools web-card banner for Malaria Risk by Region. photo-real workspace scene with hands and everyday objects, no logos and no readable UI text. Show health checklist, clinic desk, family wellness objects, no medical claims text. No readable text, no logos, no brand marks, no UI labels. 16:9, polished, inspectable, social-share friendly.",Canonical image for English/app route. Reuse this same image for translated copies unless the graphic itself needs visible localized words. Category=health; tier=T3.
25,tool-card,80,Amount to Words (Kenya),amount-words-ke,amount-words-ke,/tools/amount-words-ke/,/assets/img/tools/,amount-words-ke.webp,800x450,WebP,"Create an AfroTools web-card banner for Amount to Words (Kenya). soft 3D clay illustration, rounded but not childish, compact product-card layout. Show pan-African utility dashboard, map fragments, local market and office cues. No readable text, no logos, no brand marks, no UI labels. 16:9, polished, inspectable, social-share friendly.",Canonical image for English/app route. Reuse this same image for translated copies unless the graphic itself needs visible localized words. Category=african; tier=T3.
26,tool-card,80,Paystack Fee Calculator,paystack-calculator,paystack-calculator,/tools/paystack-calculator,/assets/img/tools/,paystack-calculator.webp,800x450,WebP,"Create an AfroTools web-card banner for Paystack Fee Calculator. soft 3D clay illustration, rounded but not childish, compact product-card layout. Show market stall, invoice, phone payment, package, small business counter. No readable text, no logos, no brand marks, no UI labels. 16:9, polished, inspectable, social-share friendly.",Canonical image for English/app route. Reuse this same image for translated copies unless the graphic itself needs visible localized words. Category=ecommerce; tier=T2.
27,tool-card,78,Pomodoro Timer,pomodoro,pomodoro,/tools/pomodoro/,/assets/img/tools/,pomodoro.webp,800x450,WebP,"Create an AfroTools web-card banner for Pomodoro Timer. modern dashboard mockup scene with abstract charts and forms, no readable text. Show African utility tool, practical browser app, forms, controls, dashboard objects. No readable text, no logos, no brand marks, no UI labels. 16:9, polished, inspectable, social-share friendly.",Canonical image for English/app route. Reuse this same image for translated copies unless the graphic itself needs visible localized words. Category=data-productivity; tier=T3.
28,tool-card,78,Waist-Hip Ratio Calculator,waist-hip-ratio,waist-hip-ratio,/tools/waist-hip-ratio/,/assets/img/tools/,waist-hip-ratio.webp,800x450,WebP,"Create an AfroTools web-card banner for Waist-Hip Ratio Calculator. flat vector-like illustration with tactile paper texture, restrained African color accents. Show health checklist, clinic desk, family wellness objects, no medical claims text. No readable text, no logos, no brand marks, no UI labels. 16:9, polished, inspectable, social-share friendly.",Canonical image for English/app route. Reuse this same image for translated copies unless the graphic itself needs visible localized words. Category=health; tier=T3.
29,tool-card,78,Meta Tag Generator,meta-tag-gen,meta-tag-gen,/tools/meta-tag-gen/,/assets/img/tools/,meta-tag-gen.webp,800x450,WebP,"Create an AfroTools web-card banner for Meta Tag Generator. flat vector-like illustration with tactile paper texture, restrained African color accents. Show code editor as abstract blocks, API cards, terminal shapes, no readable code. No readable text, no logos, no brand marks, no UI labels. 16:9, polished, inspectable, social-share friendly.",Canonical image for English/app route. Reuse this same image for translated copies unless the graphic itself needs visible localized words. Category=developer; tier=T3.
30,tool-card,78,UUID Generator,uuid-generator,uuid-generator,/tools/uuid-generator/,/assets/img/tools/,uuid-generator.webp,800x450,WebP,"Create an AfroTools web-card banner for UUID Generator. clean editorial desk scene, warm natural light, realistic but uncluttered, no text. Show code editor as abstract blocks, API cards, terminal shapes, no readable code. No readable text, no logos, no brand marks, no UI labels. 16:9, polished, inspectable, social-share friendly.",Canonical image for English/app route. Reuse this same image for translated copies unless the graphic itself needs visible localized words. Category=developer; tier=T3.
31,tool-card,77,Age Calculator,age-calculator,age-calculator,/tools/age-calculator/,/assets/img/tools/,age-calculator.webp,800x450,WebP,"Create an AfroTools web-card banner for Age Calculator. ink sketch with watercolor wash, black outline, airy composition, no text. Show African utility tool, practical browser app, forms, controls, dashboard objects. No readable text, no logos, no brand marks, no UI labels. 16:9, polished, inspectable, social-share friendly.",Canonical image for English/app route. Reuse this same image for translated copies unless the graphic itself needs visible localized words. Category=data-productivity; tier=T3.
32,tool-card,77,African Market Day Calendar,market-days,market-days,/tools/market-days/,/assets/img/tools/,market-days.webp,800x450,WebP,"Create an AfroTools web-card banner for African Market Day Calendar. minimal icon-and-object still life, bold silhouette, soft shadow, calm professional feel. Show pan-African utility dashboard, map fragments, local market and office cues. No readable text, no logos, no brand marks, no UI labels. 16:9, polished, inspectable, social-share friendly.",Canonical image for English/app route. Reuse this same image for translated copies unless the graphic itself needs visible localized words. Category=african; tier=T3.
33,tool-card,77,WCAG Contrast Checker,color-contrast,color-contrast,/tools/color-contrast/,/assets/img/tools/,color-contrast.webp,800x450,WebP,"Create an AfroTools web-card banner for WCAG Contrast Checker. soft 3D clay illustration, rounded but not childish, compact product-card layout. Show code editor as abstract blocks, API cards, terminal shapes, no readable code. No readable text, no logos, no brand marks, no UI labels. 16:9, polished, inspectable, social-share friendly.",Canonical image for English/app route. Reuse this same image for translated copies unless the graphic itself needs visible localized words. Category=developer; tier=T3.
34,tool-card,77,Sitemap Generator,sitemap-gen,sitemap-gen,/tools/sitemap-gen/,/assets/img/tools/,sitemap-gen.webp,800x450,WebP,"Create an AfroTools web-card banner for Sitemap Generator. soft 3D clay illustration, rounded but not childish, compact product-card layout. Show code editor as abstract blocks, API cards, terminal shapes, no readable code. No readable text, no logos, no brand marks, no UI labels. 16:9, polished, inspectable, social-share friendly.",Canonical image for English/app route. Reuse this same image for translated copies unless the graphic itself needs visible localized words. Category=developer; tier=T3.
35,tool-card,77,BMI Calculator,bmi-calc-tools,bmi-calc-tools,/tools/bmi-calculator,/assets/img/tools/,bmi-calc-tools.webp,800x450,WebP,"Create an AfroTools web-card banner for BMI Calculator. photo-real workspace scene with hands and everyday objects, no logos and no readable UI text. Show health checklist, clinic desk, family wellness objects, no medical claims text. No readable text, no logos, no brand marks, no UI labels. 16:9, polished, inspectable, social-share friendly.",Canonical image for English/app route. Reuse this same image for translated copies unless the graphic itself needs visible localized words. Category=health; tier=T2.
36,tool-card,77,Rent vs Buy Calculator,rent-vs-buy,rent-vs-buy,/tools/rent-vs-buy,/assets/img/tools/,rent-vs-buy.webp,800x450,WebP,"Create an AfroTools web-card banner for Rent vs Buy Calculator. simple doodle style, soft pastel fills, black outline, friendly product-card composition. Show money planning, payroll, tax forms, calculator, receipts, local currency notes. No readable text, no logos, no brand marks, no UI labels. 16:9, polished, inspectable, social-share friendly.",Canonical image for English/app route. Reuse this same image for translated copies unless the graphic itself needs visible localized words. Category=financial; tier=T2.
37,tool-card,76,African Time Zone Converter,time-zone,time-zone,/tools/time-zone/,/assets/img/tools/,time-zone.webp,800x450,WebP,"Create an AfroTools web-card banner for African Time Zone Converter. minimal icon-and-object still life, bold silhouette, soft shadow, calm professional feel. Show African utility tool, practical browser app, forms, controls, dashboard objects. No readable text, no logos, no brand marks, no UI labels. 16:9, polished, inspectable, social-share friendly.",Canonical image for English/app route. Reuse this same image for translated copies unless the graphic itself needs visible localized words. Category=data-productivity; tier=T3.
38,tool-card,76,Working Days Calculator,working-days,working-days,/tools/working-days/,/assets/img/tools/,working-days.webp,800x450,WebP,"Create an AfroTools web-card banner for Working Days Calculator. photo-real workspace scene with hands and everyday objects, no logos and no readable UI text. Show African utility tool, practical browser app, forms, controls, dashboard objects. No readable text, no logos, no brand marks, no UI labels. 16:9, polished, inspectable, social-share friendly.",Canonical image for English/app route. Reuse this same image for translated copies unless the graphic itself needs visible localized words. Category=data-productivity; tier=T3.
39,tool-card,76,Amount to Words (Ghana),amount-words-gh,amount-words-gh,/tools/amount-words-gh/,/assets/img/tools/,amount-words-gh.webp,800x450,WebP,"Create an AfroTools web-card banner for Amount to Words (Ghana). photo-real workspace scene with hands and everyday objects, no logos and no readable UI text. Show pan-African utility dashboard, map fragments, local market and office cues. No readable text, no logos, no brand marks, no UI labels. 16:9, polished, inspectable, social-share friendly.",Canonical image for English/app route. Reuse this same image for translated copies unless the graphic itself needs visible localized words. Category=african; tier=T3.
40,tool-card,75,Roman Numeral Converter,roman-numerals,roman-numerals,/tools/roman-numerals/,/assets/img/tools/,roman-numerals.webp,800x450,WebP,"Create an AfroTools web-card banner for Roman Numeral Converter. modern dashboard mockup scene with abstract charts and forms, no readable text. Show study desk, notebook, exam sheet, calculator, school materials. No readable text, no logos, no brand marks, no UI labels. 16:9, polished, inspectable, social-share friendly.",Canonical image for English/app route. Reuse this same image for translated copies unless the graphic itself needs visible localized words. Category=education; tier=T3.
41,tool-card,75,HTML Entity Encoder,html-entities,html-entities,/tools/html-entities/,/assets/img/tools/,html-entities.webp,800x450,WebP,"Create an AfroTools web-card banner for HTML Entity Encoder. flat vector-like illustration with tactile paper texture, restrained African color accents. Show code editor as abstract blocks, API cards, terminal shapes, no readable code. No readable text, no logos, no brand marks, no UI labels. 16:9, polished, inspectable, social-share friendly.",Canonical image for English/app route. Reuse this same image for translated copies unless the graphic itself needs visible localized words. Category=developer; tier=T3.
42,tool-card,75,Pregnancy Due Date Calculator,due-date-tools,due-date-tools,/tools/due-date,/assets/img/tools/,due-date-tools.webp,800x450,WebP,"Create an AfroTools web-card banner for Pregnancy Due Date Calculator. minimal icon-and-object still life, bold silhouette, soft shadow, calm professional feel. Show health checklist, clinic desk, family wellness objects, no medical claims text. No readable text, no logos, no brand marks, no UI labels. 16:9, polished, inspectable, social-share friendly.",Canonical image for English/app route. Reuse this same image for translated copies unless the graphic itself needs visible localized words. Category=health; tier=T2.
43,tool-card,75,Home Loan Eligibility Checker,home-loan-eligibility,home-loan-eligibility,/tools/home-loan-eligibility,/assets/img/tools/,home-loan-eligibility.webp,800x450,WebP,"Create an AfroTools web-card banner for Home Loan Eligibility Checker. photo-real workspace scene with hands and everyday objects, no logos and no readable UI text. Show money planning, payroll, tax forms, calculator, receipts, local currency notes. No readable text, no logos, no brand marks, no UI labels. 16:9, polished, inspectable, social-share friendly.",Canonical image for English/app route. Reuse this same image for translated copies unless the graphic itself needs visible localized words. Category=financial; tier=T2.
44,tool-card,75,Mortgage Affordability Calculator,mortgage-affordability,mortgage-affordability,/tools/mortgage-affordability,/assets/img/tools/,mortgage-affordability.webp,800x450,WebP,"Create an AfroTools web-card banner for Mortgage Affordability Calculator. modern dashboard mockup scene with abstract charts and forms, no readable text. Show money planning, payroll, tax forms, calculator, receipts, local currency notes. No readable text, no logos, no brand marks, no UI labels. 16:9, polished, inspectable, social-share friendly.",Canonical image for English/app route. Reuse this same image for translated copies unless the graphic itself needs visible localized words. Category=financial; tier=T2.
45,tool-card,74,Password Generator,password-gen,password-gen,/tools/password-generator/,/assets/img/tools/,password-gen.webp,800x450,WebP,"Create an AfroTools web-card banner for Password Generator. flat vector-like illustration with tactile paper texture, restrained African color accents. Show code editor as abstract blocks, API cards, terminal shapes, no readable code. No readable text, no logos, no brand marks, no UI labels. 16:9, polished, inspectable, social-share friendly.",Canonical image for English/app route. Reuse this same image for translated copies unless the graphic itself needs visible localized words. Category=developer; tier=T3.
46,tool-card,74,Random Name/Number Picker,random-picker,random-picker,/tools/random-picker/,/assets/img/tools/,random-picker.webp,800x450,WebP,"Create an AfroTools web-card banner for Random Name/Number Picker. clean editorial desk scene, warm natural light, realistic but uncluttered, no text. Show African utility tool, practical browser app, forms, controls, dashboard objects. No readable text, no logos, no brand marks, no UI labels. 16:9, polished, inspectable, social-share friendly.",Canonical image for English/app route. Reuse this same image for translated copies unless the graphic itself needs visible localized words. Category=data-productivity; tier=T3.
47,tool-card,74,Arabic Number Converter,arabic-calc,arabic-calc,/tools/arabic-numerals/,/assets/img/tools/,arabic-calc.webp,800x450,WebP,"Create an AfroTools web-card banner for Arabic Number Converter. flat vector-like illustration with tactile paper texture, restrained African color accents. Show African utility tool, practical browser app, forms, controls, dashboard objects. No readable text, no logos, no brand marks, no UI labels. 16:9, polished, inspectable, social-share friendly.",Canonical image for English/app route. Reuse this same image for translated copies unless the graphic itself needs visible localized words. Category=language; tier=T3.
48,tool-card,74,.htaccess Generator,htaccess-gen,htaccess-gen,/tools/htaccess-gen/,/assets/img/tools/,htaccess-gen.webp,800x450,WebP,"Create an AfroTools web-card banner for .htaccess Generator. modern dashboard mockup scene with abstract charts and forms, no readable text. Show code editor as abstract blocks, API cards, terminal shapes, no readable code. No readable text, no logos, no brand marks, no UI labels. 16:9, polished, inspectable, social-share friendly.",Canonical image for English/app route. Reuse this same image for translated copies unless the graphic itself needs visible localized words. Category=developer; tier=T3.
49,tool-card,74,Robots.txt Generator,robots-txt,robots-txt,/tools/robots-txt/,/assets/img/tools/,robots-txt.webp,800x450,WebP,"Create an AfroTools web-card banner for Robots.txt Generator. minimal icon-and-object still life, bold silhouette, soft shadow, calm professional feel. Show code editor as abstract blocks, API cards, terminal shapes, no readable code. No readable text, no logos, no brand marks, no UI labels. 16:9, polished, inspectable, social-share friendly.",Canonical image for English/app route. Reuse this same image for translated copies unless the graphic itself needs visible localized words. Category=developer; tier=T3.
50,tool-card,73,First Home Buyer Calculator,first-home-buyer,first-home-buyer,/tools/first-home-buyer,/assets/img/tools/,first-home-buyer.webp,800x450,WebP,"Create an AfroTools web-card banner for First Home Buyer Calculator. soft 3D clay illustration, rounded but not childish, compact product-card layout. Show money planning, payroll, tax forms, calculator, receipts, local currency notes. No readable text, no logos, no brand marks, no UI labels. 16:9, polished, inspectable, social-share friendly.",Canonical image for English/app route. Reuse this same image for translated copies unless the graphic itself needs visible localized words. Category=financial; tier=T2.
51,tool-card,73,Renovation Cost Calculator,home-renovation-cost,home-renovation-cost,/tools/home-renovation-cost,/assets/img/tools/,home-renovation-cost.webp,800x450,WebP,"Create an AfroTools web-card banner for Renovation Cost Calculator. ink sketch with watercolor wash, black outline, airy composition, no text. Show tools, measurement tape, blueprint, material samples. No readable text, no logos, no brand marks, no UI labels. 16:9, polished, inspectable, social-share friendly.",Canonical image for English/app route. Reuse this same image for translated copies unless the graphic itself needs visible localized words. Category=engineering; tier=T2.
52,tool-card,73,Property ROI Calculator,property-roi,property-roi,/tools/property-roi,/assets/img/tools/,property-roi.webp,800x450,WebP,"Create an AfroTools web-card banner for Property ROI Calculator. photo-real workspace scene with hands and everyday objects, no logos and no readable UI text. Show money planning, payroll, tax forms, calculator, receipts, local currency notes. No readable text, no logos, no brand marks, no UI labels. 16:9, polished, inspectable, social-share friendly.",Canonical image for English/app route. Reuse this same image for translated copies unless the graphic itself needs visible localized words. Category=financial; tier=T2.
53,tool-card,72,Event Countdown Timer,countdown-timer,countdown-timer,/tools/countdown-timer/,/assets/img/tools/,countdown-timer.webp,800x450,WebP,"Create an AfroTools web-card banner for Event Countdown Timer. modern dashboard mockup scene with abstract charts and forms, no readable text. Show African utility tool, practical browser app, forms, controls, dashboard objects. No readable text, no logos, no brand marks, no UI labels. 16:9, polished, inspectable, social-share friendly.",Canonical image for English/app route. Reuse this same image for translated copies unless the graphic itself needs visible localized words. Category=data-productivity; tier=T3.
54,tool-card,72,Tip & Bill Splitter,tip-calculator,tip-calculator,/tools/tip-calculator/,/assets/img/tools/,tip-calculator.webp,800x450,WebP,"Create an AfroTools web-card banner for Tip & Bill Splitter. minimal icon-and-object still life, bold silhouette, soft shadow, calm professional feel. Show African utility tool, practical browser app, forms, controls, dashboard objects. No readable text, no logos, no brand marks, no UI labels. 16:9, polished, inspectable, social-share friendly.",Canonical image for English/app route. Reuse this same image for translated copies unless the graphic itself needs visible localized words. Category=data-productivity; tier=T3.
55,tool-card,72,Transliteration Tool,transliterate,transliterate,/tools/transliterate/,/assets/img/tools/,transliterate.webp,800x450,WebP,"Create an AfroTools web-card banner for Transliteration Tool. modern dashboard mockup scene with abstract charts and forms, no readable text. Show African utility tool, practical browser app, forms, controls, dashboard objects. No readable text, no logos, no brand marks, no UI labels. 16:9, polished, inspectable, social-share friendly.",Canonical image for English/app route. Reuse this same image for translated copies unless the graphic itself needs visible localized words. Category=language; tier=T3.
