slug,recipe,country,category,role,label,filename,route_path,prompt
seswaa-bw,Seswaa,Botswana,main,hero,Finished dish hero,seswaa-bw.webp,/tools/afrokitchen/recipes/seswaa-bw/,"Finished Seswaa, main from Botswana, plated finished dish in warm natural light, inspectable texture, no text, no logos."
seswaa-bw,Seswaa,Botswana,main,serving,Serving detail,seswaa-bw-2.webp,/tools/afrokitchen/recipes/seswaa-bw/,"Finished Seswaa, main from Botswana, closer serving angle showing texture, garnish, side dish, and sauce."
seswaa-bw,Seswaa,Botswana,main,ingredients,Ingredient setup,seswaa-bw-3.webp,/tools/afrokitchen/recipes/seswaa-bw/,"Finished Seswaa, main from Botswana, key ingredients arranged naturally before cooking, bright kitchen light."
seswaa-bw,Seswaa,Botswana,main,process,Cooking process,seswaa-bw-4.webp,/tools/afrokitchen/recipes/seswaa-bw/,"Finished Seswaa, main from Botswana, mid-cooking pot or pan moment that explains the method."
seswaa-bw,Seswaa,Botswana,main,table,Table context,seswaa-bw-5.webp,/tools/afrokitchen/recipes/seswaa-bw/,"Finished Seswaa, main from Botswana, dish on table with realistic accompaniments and serving utensils."
riz-gras-bf,Riz Gras,Burkina Faso,main,hero,Finished dish hero,riz-gras-bf.webp,/tools/afrokitchen/recipes/riz-gras-bf/,"Finished Riz Gras, main from Burkina Faso, plated finished dish in warm natural light, inspectable texture, no text, no logos."
riz-gras-bf,Riz Gras,Burkina Faso,main,serving,Serving detail,riz-gras-bf-2.webp,/tools/afrokitchen/recipes/riz-gras-bf/,"Finished Riz Gras, main from Burkina Faso, closer serving angle showing texture, garnish, side dish, and sauce."
riz-gras-bf,Riz Gras,Burkina Faso,main,ingredients,Ingredient setup,riz-gras-bf-3.webp,/tools/afrokitchen/recipes/riz-gras-bf/,"Finished Riz Gras, main from Burkina Faso, key ingredients arranged naturally before cooking, bright kitchen light."
riz-gras-bf,Riz Gras,Burkina Faso,main,process,Cooking process,riz-gras-bf-4.webp,/tools/afrokitchen/recipes/riz-gras-bf/,"Finished Riz Gras, main from Burkina Faso, mid-cooking pot or pan moment that explains the method."
riz-gras-bf,Riz Gras,Burkina Faso,main,table,Table context,riz-gras-bf-5.webp,/tools/afrokitchen/recipes/riz-gras-bf/,"Finished Riz Gras, main from Burkina Faso, dish on table with realistic accompaniments and serving utensils."
koki-beans-cm,Koki Beans,Cameroon,side,hero,Finished dish hero,koki-beans-cm.webp,/tools/afrokitchen/recipes/koki-beans-cm/,"Finished Koki Beans, side from Cameroon, plated finished dish in warm natural light, inspectable texture, no text, no logos."
koki-beans-cm,Koki Beans,Cameroon,side,serving,Serving detail,koki-beans-cm-2.webp,/tools/afrokitchen/recipes/koki-beans-cm/,"Finished Koki Beans, side from Cameroon, closer serving angle showing texture, garnish, side dish, and sauce."
koki-beans-cm,Koki Beans,Cameroon,side,ingredients,Ingredient setup,koki-beans-cm-3.webp,/tools/afrokitchen/recipes/koki-beans-cm/,"Finished Koki Beans, side from Cameroon, key ingredients arranged naturally before cooking, bright kitchen light."
koki-beans-cm,Koki Beans,Cameroon,side,process,Cooking process,koki-beans-cm-4.webp,/tools/afrokitchen/recipes/koki-beans-cm/,"Finished Koki Beans, side from Cameroon, mid-cooking pot or pan moment that explains the method."
koki-beans-cm,Koki Beans,Cameroon,side,table,Table context,koki-beans-cm-5.webp,/tools/afrokitchen/recipes/koki-beans-cm/,"Finished Koki Beans, side from Cameroon, dish on table with realistic accompaniments and serving utensils."
ndole-cm,Ndolé,Cameroon,stew,hero,Finished dish hero,ndole-cm.webp,/tools/afrokitchen/recipes/ndole-cm/,"Finished Ndolé, stew from Cameroon, plated finished dish in warm natural light, inspectable texture, no text, no logos."
ndole-cm,Ndolé,Cameroon,stew,serving,Serving detail,ndole-cm-2.webp,/tools/afrokitchen/recipes/ndole-cm/,"Finished Ndolé, stew from Cameroon, closer serving angle showing texture, garnish, side dish, and sauce."
ndole-cm,Ndolé,Cameroon,stew,ingredients,Ingredient setup,ndole-cm-3.webp,/tools/afrokitchen/recipes/ndole-cm/,"Finished Ndolé, stew from Cameroon, key ingredients arranged naturally before cooking, bright kitchen light."
ndole-cm,Ndolé,Cameroon,stew,process,Cooking process,ndole-cm-4.webp,/tools/afrokitchen/recipes/ndole-cm/,"Finished Ndolé, stew from Cameroon, mid-cooking pot or pan moment that explains the method."
ndole-cm,Ndolé,Cameroon,stew,table,Table context,ndole-cm-5.webp,/tools/afrokitchen/recipes/ndole-cm/,"Finished Ndolé, stew from Cameroon, dish on table with realistic accompaniments and serving utensils."
cachupa-rica-cv,Cachupa Rica,Cape Verde,stew,hero,Finished dish hero,cachupa-rica-cv.webp,/tools/afrokitchen/recipes/cachupa-rica-cv/,"Finished Cachupa Rica, stew from Cape Verde, plated finished dish in warm natural light, inspectable texture, no text, no logos."
cachupa-rica-cv,Cachupa Rica,Cape Verde,stew,serving,Serving detail,cachupa-rica-cv-2.webp,/tools/afrokitchen/recipes/cachupa-rica-cv/,"Finished Cachupa Rica, stew from Cape Verde, closer serving angle showing texture, garnish, side dish, and sauce."
cachupa-rica-cv,Cachupa Rica,Cape Verde,stew,ingredients,Ingredient setup,cachupa-rica-cv-3.webp,/tools/afrokitchen/recipes/cachupa-rica-cv/,"Finished Cachupa Rica, stew from Cape Verde, key ingredients arranged naturally before cooking, bright kitchen light."
cachupa-rica-cv,Cachupa Rica,Cape Verde,stew,process,Cooking process,cachupa-rica-cv-4.webp,/tools/afrokitchen/recipes/cachupa-rica-cv/,"Finished Cachupa Rica, stew from Cape Verde, mid-cooking pot or pan moment that explains the method."
cachupa-rica-cv,Cachupa Rica,Cape Verde,stew,table,Table context,cachupa-rica-cv-5.webp,/tools/afrokitchen/recipes/cachupa-rica-cv/,"Finished Cachupa Rica, stew from Cape Verde, dish on table with realistic accompaniments and serving utensils."
gozo-cf,Gozo,Central African Republic,side,hero,Finished dish hero,gozo-cf.webp,/tools/afrokitchen/recipes/gozo-cf/,"Finished Gozo, side from Central African Republic, plated finished dish in warm natural light, inspectable texture, no text, no logos."
gozo-cf,Gozo,Central African Republic,side,serving,Serving detail,gozo-cf-2.webp,/tools/afrokitchen/recipes/gozo-cf/,"Finished Gozo, side from Central African Republic, closer serving angle showing texture, garnish, side dish, and sauce."
gozo-cf,Gozo,Central African Republic,side,ingredients,Ingredient setup,gozo-cf-3.webp,/tools/afrokitchen/recipes/gozo-cf/,"Finished Gozo, side from Central African Republic, key ingredients arranged naturally before cooking, bright kitchen light."
gozo-cf,Gozo,Central African Republic,side,process,Cooking process,gozo-cf-4.webp,/tools/afrokitchen/recipes/gozo-cf/,"Finished Gozo, side from Central African Republic, mid-cooking pot or pan moment that explains the method."
gozo-cf,Gozo,Central African Republic,side,table,Table context,gozo-cf-5.webp,/tools/afrokitchen/recipes/gozo-cf/,"Finished Gozo, side from Central African Republic, dish on table with realistic accompaniments and serving utensils."
daraba-td,Daraba,Chad,stew,hero,Finished dish hero,daraba-td.webp,/tools/afrokitchen/recipes/daraba-td/,"Finished Daraba, stew from Chad, plated finished dish in warm natural light, inspectable texture, no text, no logos."
daraba-td,Daraba,Chad,stew,serving,Serving detail,daraba-td-2.webp,/tools/afrokitchen/recipes/daraba-td/,"Finished Daraba, stew from Chad, closer serving angle showing texture, garnish, side dish, and sauce."
daraba-td,Daraba,Chad,stew,ingredients,Ingredient setup,daraba-td-3.webp,/tools/afrokitchen/recipes/daraba-td/,"Finished Daraba, stew from Chad, key ingredients arranged naturally before cooking, bright kitchen light."
daraba-td,Daraba,Chad,stew,process,Cooking process,daraba-td-4.webp,/tools/afrokitchen/recipes/daraba-td/,"Finished Daraba, stew from Chad, mid-cooking pot or pan moment that explains the method."
daraba-td,Daraba,Chad,stew,table,Table context,daraba-td-5.webp,/tools/afrokitchen/recipes/daraba-td/,"Finished Daraba, stew from Chad, dish on table with realistic accompaniments and serving utensils."
moambe-chicken-cd,Moambe Chicken,Democratic Republic of Congo,stew,hero,Finished dish hero,moambe-chicken-cd.webp,/tools/afrokitchen/recipes/moambe-chicken-cd/,"Finished Moambe Chicken, stew from Democratic Republic of Congo, plated finished dish in warm natural light, inspectable texture, no text, no logos."
moambe-chicken-cd,Moambe Chicken,Democratic Republic of Congo,stew,serving,Serving detail,moambe-chicken-cd-2.webp,/tools/afrokitchen/recipes/moambe-chicken-cd/,"Finished Moambe Chicken, stew from Democratic Republic of Congo, closer serving angle showing texture, garnish, side dish, and sauce."
moambe-chicken-cd,Moambe Chicken,Democratic Republic of Congo,stew,ingredients,Ingredient setup,moambe-chicken-cd-3.webp,/tools/afrokitchen/recipes/moambe-chicken-cd/,"Finished Moambe Chicken, stew from Democratic Republic of Congo, key ingredients arranged naturally before cooking, bright kitchen light."
moambe-chicken-cd,Moambe Chicken,Democratic Republic of Congo,stew,process,Cooking process,moambe-chicken-cd-4.webp,/tools/afrokitchen/recipes/moambe-chicken-cd/,"Finished Moambe Chicken, stew from Democratic Republic of Congo, mid-cooking pot or pan moment that explains the method."
moambe-chicken-cd,Moambe Chicken,Democratic Republic of Congo,stew,table,Table context,moambe-chicken-cd-5.webp,/tools/afrokitchen/recipes/moambe-chicken-cd/,"Finished Moambe Chicken, stew from Democratic Republic of Congo, dish on table with realistic accompaniments and serving utensils."
koshari-eg,Koshari,Egypt,main,hero,Finished dish hero,koshari-eg.webp,/tools/afrokitchen/recipes/koshari-eg/,"Finished Koshari, main from Egypt, plated finished dish in warm natural light, inspectable texture, no text, no logos."
koshari-eg,Koshari,Egypt,main,serving,Serving detail,koshari-eg-2.webp,/tools/afrokitchen/recipes/koshari-eg/,"Finished Koshari, main from Egypt, closer serving angle showing texture, garnish, side dish, and sauce."
koshari-eg,Koshari,Egypt,main,ingredients,Ingredient setup,koshari-eg-3.webp,/tools/afrokitchen/recipes/koshari-eg/,"Finished Koshari, main from Egypt, key ingredients arranged naturally before cooking, bright kitchen light."
koshari-eg,Koshari,Egypt,main,process,Cooking process,koshari-eg-4.webp,/tools/afrokitchen/recipes/koshari-eg/,"Finished Koshari, main from Egypt, mid-cooking pot or pan moment that explains the method."
koshari-eg,Koshari,Egypt,main,table,Table context,koshari-eg-5.webp,/tools/afrokitchen/recipes/koshari-eg/,"Finished Koshari, main from Egypt, dish on table with realistic accompaniments and serving utensils."
succotash-gq,Succotash de Guinée,Equatorial Guinea,stew,hero,Finished dish hero,succotash-gq.webp,/tools/afrokitchen/recipes/succotash-gq/,"Finished Succotash de Guinée, stew from Equatorial Guinea, plated finished dish in warm natural light, inspectable texture, no text, no logos."
succotash-gq,Succotash de Guinée,Equatorial Guinea,stew,serving,Serving detail,succotash-gq-2.webp,/tools/afrokitchen/recipes/succotash-gq/,"Finished Succotash de Guinée, stew from Equatorial Guinea, closer serving angle showing texture, garnish, side dish, and sauce."
succotash-gq,Succotash de Guinée,Equatorial Guinea,stew,ingredients,Ingredient setup,succotash-gq-3.webp,/tools/afrokitchen/recipes/succotash-gq/,"Finished Succotash de Guinée, stew from Equatorial Guinea, key ingredients arranged naturally before cooking, bright kitchen light."
succotash-gq,Succotash de Guinée,Equatorial Guinea,stew,process,Cooking process,succotash-gq-4.webp,/tools/afrokitchen/recipes/succotash-gq/,"Finished Succotash de Guinée, stew from Equatorial Guinea, mid-cooking pot or pan moment that explains the method."
succotash-gq,Succotash de Guinée,Equatorial Guinea,stew,table,Table context,succotash-gq-5.webp,/tools/afrokitchen/recipes/succotash-gq/,"Finished Succotash de Guinée, stew from Equatorial Guinea, dish on table with realistic accompaniments and serving utensils."
sishwala-emasi-sz,Sishwala with Emasi,Eswatini,main,hero,Finished dish hero,sishwala-emasi-sz.webp,/tools/afrokitchen/recipes/sishwala-emasi-sz/,"Finished Sishwala with Emasi, main from Eswatini, plated finished dish in warm natural light, inspectable texture, no text, no logos."
sishwala-emasi-sz,Sishwala with Emasi,Eswatini,main,serving,Serving detail,sishwala-emasi-sz-2.webp,/tools/afrokitchen/recipes/sishwala-emasi-sz/,"Finished Sishwala with Emasi, main from Eswatini, closer serving angle showing texture, garnish, side dish, and sauce."
sishwala-emasi-sz,Sishwala with Emasi,Eswatini,main,ingredients,Ingredient setup,sishwala-emasi-sz-3.webp,/tools/afrokitchen/recipes/sishwala-emasi-sz/,"Finished Sishwala with Emasi, main from Eswatini, key ingredients arranged naturally before cooking, bright kitchen light."
sishwala-emasi-sz,Sishwala with Emasi,Eswatini,main,process,Cooking process,sishwala-emasi-sz-4.webp,/tools/afrokitchen/recipes/sishwala-emasi-sz/,"Finished Sishwala with Emasi, main from Eswatini, mid-cooking pot or pan moment that explains the method."
sishwala-emasi-sz,Sishwala with Emasi,Eswatini,main,table,Table context,sishwala-emasi-sz-5.webp,/tools/afrokitchen/recipes/sishwala-emasi-sz/,"Finished Sishwala with Emasi, main from Eswatini, dish on table with realistic accompaniments and serving utensils."
umbhidvo-wetintsanga-sz,Umbhidvo Wetintsanga,Eswatini,side,hero,Finished dish hero,umbhidvo-wetintsanga-sz.webp,/tools/afrokitchen/recipes/umbhidvo-wetintsanga-sz/,"Finished Umbhidvo Wetintsanga, side from Eswatini, plated finished dish in warm natural light, inspectable texture, no text, no logos."
umbhidvo-wetintsanga-sz,Umbhidvo Wetintsanga,Eswatini,side,serving,Serving detail,umbhidvo-wetintsanga-sz-2.webp,/tools/afrokitchen/recipes/umbhidvo-wetintsanga-sz/,"Finished Umbhidvo Wetintsanga, side from Eswatini, closer serving angle showing texture, garnish, side dish, and sauce."
umbhidvo-wetintsanga-sz,Umbhidvo Wetintsanga,Eswatini,side,ingredients,Ingredient setup,umbhidvo-wetintsanga-sz-3.webp,/tools/afrokitchen/recipes/umbhidvo-wetintsanga-sz/,"Finished Umbhidvo Wetintsanga, side from Eswatini, key ingredients arranged naturally before cooking, bright kitchen light."
umbhidvo-wetintsanga-sz,Umbhidvo Wetintsanga,Eswatini,side,process,Cooking process,umbhidvo-wetintsanga-sz-4.webp,/tools/afrokitchen/recipes/umbhidvo-wetintsanga-sz/,"Finished Umbhidvo Wetintsanga, side from Eswatini, mid-cooking pot or pan moment that explains the method."
umbhidvo-wetintsanga-sz,Umbhidvo Wetintsanga,Eswatini,side,table,Table context,umbhidvo-wetintsanga-sz-5.webp,/tools/afrokitchen/recipes/umbhidvo-wetintsanga-sz/,"Finished Umbhidvo Wetintsanga, side from Eswatini, dish on table with realistic accompaniments and serving utensils."
doro-wat,Doro Wat,Ethiopia,stew,hero,Finished dish hero,doro-wat.webp,/tools/afrokitchen/recipes/doro-wat/,"Finished Doro Wat, stew from Ethiopia, plated finished dish in warm natural light, inspectable texture, no text, no logos."
doro-wat,Doro Wat,Ethiopia,stew,serving,Serving detail,doro-wat-2.webp,/tools/afrokitchen/recipes/doro-wat/,"Finished Doro Wat, stew from Ethiopia, closer serving angle showing texture, garnish, side dish, and sauce."
doro-wat,Doro Wat,Ethiopia,stew,ingredients,Ingredient setup,doro-wat-3.webp,/tools/afrokitchen/recipes/doro-wat/,"Finished Doro Wat, stew from Ethiopia, key ingredients arranged naturally before cooking, bright kitchen light."
doro-wat,Doro Wat,Ethiopia,stew,process,Cooking process,doro-wat-4.webp,/tools/afrokitchen/recipes/doro-wat/,"Finished Doro Wat, stew from Ethiopia, mid-cooking pot or pan moment that explains the method."
doro-wat,Doro Wat,Ethiopia,stew,table,Table context,doro-wat-5.webp,/tools/afrokitchen/recipes/doro-wat/,"Finished Doro Wat, stew from Ethiopia, dish on table with realistic accompaniments and serving utensils."
poulet-moutarde-ga,Mustard Chicken,Gabon,main,hero,Finished dish hero,poulet-moutarde-ga.webp,/tools/afrokitchen/recipes/poulet-moutarde-ga/,"Finished Mustard Chicken, main from Gabon, plated finished dish in warm natural light, inspectable texture, no text, no logos."
poulet-moutarde-ga,Mustard Chicken,Gabon,main,serving,Serving detail,poulet-moutarde-ga-2.webp,/tools/afrokitchen/recipes/poulet-moutarde-ga/,"Finished Mustard Chicken, main from Gabon, closer serving angle showing texture, garnish, side dish, and sauce."
poulet-moutarde-ga,Mustard Chicken,Gabon,main,ingredients,Ingredient setup,poulet-moutarde-ga-3.webp,/tools/afrokitchen/recipes/poulet-moutarde-ga/,"Finished Mustard Chicken, main from Gabon, key ingredients arranged naturally before cooking, bright kitchen light."
poulet-moutarde-ga,Mustard Chicken,Gabon,main,process,Cooking process,poulet-moutarde-ga-4.webp,/tools/afrokitchen/recipes/poulet-moutarde-ga/,"Finished Mustard Chicken, main from Gabon, mid-cooking pot or pan moment that explains the method."
poulet-moutarde-ga,Mustard Chicken,Gabon,main,table,Table context,poulet-moutarde-ga-5.webp,/tools/afrokitchen/recipes/poulet-moutarde-ga/,"Finished Mustard Chicken, main from Gabon, dish on table with realistic accompaniments and serving utensils."
nyembwe-chicken-ga,Nyembwe Chicken,Gabon,stew,hero,Finished dish hero,nyembwe-chicken-ga.webp,/tools/afrokitchen/recipes/nyembwe-chicken-ga/,"Finished Nyembwe Chicken, stew from Gabon, plated finished dish in warm natural light, inspectable texture, no text, no logos."
nyembwe-chicken-ga,Nyembwe Chicken,Gabon,stew,serving,Serving detail,nyembwe-chicken-ga-2.webp,/tools/afrokitchen/recipes/nyembwe-chicken-ga/,"Finished Nyembwe Chicken, stew from Gabon, closer serving angle showing texture, garnish, side dish, and sauce."
nyembwe-chicken-ga,Nyembwe Chicken,Gabon,stew,ingredients,Ingredient setup,nyembwe-chicken-ga-3.webp,/tools/afrokitchen/recipes/nyembwe-chicken-ga/,"Finished Nyembwe Chicken, stew from Gabon, key ingredients arranged naturally before cooking, bright kitchen light."
nyembwe-chicken-ga,Nyembwe Chicken,Gabon,stew,process,Cooking process,nyembwe-chicken-ga-4.webp,/tools/afrokitchen/recipes/nyembwe-chicken-ga/,"Finished Nyembwe Chicken, stew from Gabon, mid-cooking pot or pan moment that explains the method."
nyembwe-chicken-ga,Nyembwe Chicken,Gabon,stew,table,Table context,nyembwe-chicken-ga-5.webp,/tools/afrokitchen/recipes/nyembwe-chicken-ga/,"Finished Nyembwe Chicken, stew from Gabon, dish on table with realistic accompaniments and serving utensils."
domoda-gm,Domoda,Gambia,stew,hero,Finished dish hero,domoda-gm.webp,/tools/afrokitchen/recipes/domoda-gm/,"Finished Domoda, stew from Gambia, plated finished dish in warm natural light, inspectable texture, no text, no logos."
domoda-gm,Domoda,Gambia,stew,serving,Serving detail,domoda-gm-2.webp,/tools/afrokitchen/recipes/domoda-gm/,"Finished Domoda, stew from Gambia, closer serving angle showing texture, garnish, side dish, and sauce."
domoda-gm,Domoda,Gambia,stew,ingredients,Ingredient setup,domoda-gm-3.webp,/tools/afrokitchen/recipes/domoda-gm/,"Finished Domoda, stew from Gambia, key ingredients arranged naturally before cooking, bright kitchen light."
domoda-gm,Domoda,Gambia,stew,process,Cooking process,domoda-gm-4.webp,/tools/afrokitchen/recipes/domoda-gm/,"Finished Domoda, stew from Gambia, mid-cooking pot or pan moment that explains the method."
domoda-gm,Domoda,Gambia,stew,table,Table context,domoda-gm-5.webp,/tools/afrokitchen/recipes/domoda-gm/,"Finished Domoda, stew from Gambia, dish on table with realistic accompaniments and serving utensils."
jollof-rice-gh,Ghanaian Jollof Rice,Ghana,main,hero,Finished dish hero,jollof-rice-gh.webp,/tools/afrokitchen/recipes/jollof-rice-gh/,"Finished Ghanaian Jollof Rice, main from Ghana, plated finished dish in warm natural light, inspectable texture, no text, no logos."
jollof-rice-gh,Ghanaian Jollof Rice,Ghana,main,serving,Serving detail,jollof-rice-gh-2.webp,/tools/afrokitchen/recipes/jollof-rice-gh/,"Finished Ghanaian Jollof Rice, main from Ghana, closer serving angle showing texture, garnish, side dish, and sauce."
jollof-rice-gh,Ghanaian Jollof Rice,Ghana,main,ingredients,Ingredient setup,jollof-rice-gh-3.webp,/tools/afrokitchen/recipes/jollof-rice-gh/,"Finished Ghanaian Jollof Rice, main from Ghana, key ingredients arranged naturally before cooking, bright kitchen light."
jollof-rice-gh,Ghanaian Jollof Rice,Ghana,main,process,Cooking process,jollof-rice-gh-4.webp,/tools/afrokitchen/recipes/jollof-rice-gh/,"Finished Ghanaian Jollof Rice, main from Ghana, mid-cooking pot or pan moment that explains the method."
jollof-rice-gh,Ghanaian Jollof Rice,Ghana,main,table,Table context,jollof-rice-gh-5.webp,/tools/afrokitchen/recipes/jollof-rice-gh/,"Finished Ghanaian Jollof Rice, main from Ghana, dish on table with realistic accompaniments and serving utensils."
poulet-yassa-gn,Guinean Chicken Yassa,Guinea,main,hero,Finished dish hero,poulet-yassa-gn.webp,/tools/afrokitchen/recipes/poulet-yassa-gn/,"Finished Guinean Chicken Yassa, main from Guinea, plated finished dish in warm natural light, inspectable texture, no text, no logos."
poulet-yassa-gn,Guinean Chicken Yassa,Guinea,main,serving,Serving detail,poulet-yassa-gn-2.webp,/tools/afrokitchen/recipes/poulet-yassa-gn/,"Finished Guinean Chicken Yassa, main from Guinea, closer serving angle showing texture, garnish, side dish, and sauce."
poulet-yassa-gn,Guinean Chicken Yassa,Guinea,main,ingredients,Ingredient setup,poulet-yassa-gn-3.webp,/tools/afrokitchen/recipes/poulet-yassa-gn/,"Finished Guinean Chicken Yassa, main from Guinea, key ingredients arranged naturally before cooking, bright kitchen light."
poulet-yassa-gn,Guinean Chicken Yassa,Guinea,main,process,Cooking process,poulet-yassa-gn-4.webp,/tools/afrokitchen/recipes/poulet-yassa-gn/,"Finished Guinean Chicken Yassa, main from Guinea, mid-cooking pot or pan moment that explains the method."
poulet-yassa-gn,Guinean Chicken Yassa,Guinea,main,table,Table context,poulet-yassa-gn-5.webp,/tools/afrokitchen/recipes/poulet-yassa-gn/,"Finished Guinean Chicken Yassa, main from Guinea, dish on table with realistic accompaniments and serving utensils."
caldo-de-mancarra-gw,Caldo de Mancarra,Guinea-Bissau,soup,hero,Finished dish hero,caldo-de-mancarra-gw.webp,/tools/afrokitchen/recipes/caldo-de-mancarra-gw/,"Finished Caldo de Mancarra, soup from Guinea-Bissau, plated finished dish in warm natural light, inspectable texture, no text, no logos."
caldo-de-mancarra-gw,Caldo de Mancarra,Guinea-Bissau,soup,serving,Serving detail,caldo-de-mancarra-gw-2.webp,/tools/afrokitchen/recipes/caldo-de-mancarra-gw/,"Finished Caldo de Mancarra, soup from Guinea-Bissau, closer serving angle showing texture, garnish, side dish, and sauce."
caldo-de-mancarra-gw,Caldo de Mancarra,Guinea-Bissau,soup,ingredients,Ingredient setup,caldo-de-mancarra-gw-3.webp,/tools/afrokitchen/recipes/caldo-de-mancarra-gw/,"Finished Caldo de Mancarra, soup from Guinea-Bissau, key ingredients arranged naturally before cooking, bright kitchen light."
caldo-de-mancarra-gw,Caldo de Mancarra,Guinea-Bissau,soup,process,Cooking process,caldo-de-mancarra-gw-4.webp,/tools/afrokitchen/recipes/caldo-de-mancarra-gw/,"Finished Caldo de Mancarra, soup from Guinea-Bissau, mid-cooking pot or pan moment that explains the method."
caldo-de-mancarra-gw,Caldo de Mancarra,Guinea-Bissau,soup,table,Table context,caldo-de-mancarra-gw-5.webp,/tools/afrokitchen/recipes/caldo-de-mancarra-gw/,"Finished Caldo de Mancarra, soup from Guinea-Bissau, dish on table with realistic accompaniments and serving utensils."
attieke-poisson-ci,Attiéké with Grilled Fish,Ivory Coast,main,hero,Finished dish hero,attieke-poisson-ci.webp,/tools/afrokitchen/recipes/attieke-poisson-ci/,"Finished Attiéké with Grilled Fish, main from Ivory Coast, plated finished dish in warm natural light, inspectable texture, no text, no logos."
attieke-poisson-ci,Attiéké with Grilled Fish,Ivory Coast,main,serving,Serving detail,attieke-poisson-ci-2.webp,/tools/afrokitchen/recipes/attieke-poisson-ci/,"Finished Attiéké with Grilled Fish, main from Ivory Coast, closer serving angle showing texture, garnish, side dish, and sauce."
attieke-poisson-ci,Attiéké with Grilled Fish,Ivory Coast,main,ingredients,Ingredient setup,attieke-poisson-ci-3.webp,/tools/afrokitchen/recipes/attieke-poisson-ci/,"Finished Attiéké with Grilled Fish, main from Ivory Coast, key ingredients arranged naturally before cooking, bright kitchen light."
attieke-poisson-ci,Attiéké with Grilled Fish,Ivory Coast,main,process,Cooking process,attieke-poisson-ci-4.webp,/tools/afrokitchen/recipes/attieke-poisson-ci/,"Finished Attiéké with Grilled Fish, main from Ivory Coast, mid-cooking pot or pan moment that explains the method."
