vehicle_id,make,model,year,body_type,image_name,save_directory
bmw-3-series-2016,BMW,3 Series,2016,sedan,bmw-3-series-2016-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/bmw/3-series/2016/
bmw-3-series-2019,BMW,3 Series,2019,sedan,bmw-3-series-2019-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/bmw/3-series/2019/
bmw-3-series-2022,BMW,3 Series,2022,sedan,bmw-3-series-2022-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/bmw/3-series/2022/
bmw-3-series-2024,BMW,3 Series,2024,sedan,bmw-3-series-2024-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/bmw/3-series/2024/
bmw-5-series-2008,BMW,5 Series,2008,sedan,bmw-5-series-2008-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/bmw/5-series/2008/
bmw-5-series-2012,BMW,5 Series,2012,sedan,bmw-5-series-2012-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/bmw/5-series/2012/
bmw-5-series-2016,BMW,5 Series,2016,sedan,bmw-5-series-2016-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/bmw/5-series/2016/
bmw-5-series-2019,BMW,5 Series,2019,sedan,bmw-5-series-2019-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/bmw/5-series/2019/
bmw-5-series-2022,BMW,5 Series,2022,sedan,bmw-5-series-2022-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/bmw/5-series/2022/
bmw-5-series-2024,BMW,5 Series,2024,sedan,bmw-5-series-2024-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/bmw/5-series/2024/
bmw-x5-2007,BMW,X5,2007,suv,bmw-x5-2007-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/bmw/x5/2007/
bmw-x5-2010,BMW,X5,2010,suv,bmw-x5-2010-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/bmw/x5/2010/
bmw-x5-2014,BMW,X5,2014,suv,bmw-x5-2014-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/bmw/x5/2014/
bmw-x5-2018,BMW,X5,2018,suv,bmw-x5-2018-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/bmw/x5/2018/
bmw-x5-2021,BMW,X5,2021,suv,bmw-x5-2021-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/bmw/x5/2021/
bmw-x5-2023,BMW,X5,2023,suv,bmw-x5-2023-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/bmw/x5/2023/
byd-atto-3-2022,BYD,Atto 3,2022,suv,byd-atto-3-2022-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/byd/atto-3/2022/
byd-atto-3-2023,BYD,Atto 3,2023,suv,byd-atto-3-2023-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/byd/atto-3/2023/
byd-atto-3-2024,BYD,Atto 3,2024,suv,byd-atto-3-2024-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/byd/atto-3/2024/
byd-atto-3-2025,BYD,Atto 3,2025,suv,byd-atto-3-2025-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/byd/atto-3/2025/
byd-dolphin-2023,BYD,Dolphin,2023,hatchback,byd-dolphin-2023-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/byd/dolphin/2023/
byd-dolphin-2024,BYD,Dolphin,2024,hatchback,byd-dolphin-2024-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/byd/dolphin/2024/
byd-dolphin-2025,BYD,Dolphin,2025,hatchback,byd-dolphin-2025-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/byd/dolphin/2025/
byd-seal-2023,BYD,Seal,2023,sedan,byd-seal-2023-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/byd/seal/2023/
byd-seal-2024,BYD,Seal,2024,sedan,byd-seal-2024-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/byd/seal/2024/
byd-seal-2025,BYD,Seal,2025,sedan,byd-seal-2025-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/byd/seal/2025/
chery-tiggo-7-pro-2022,Chery,Tiggo 7 Pro,2022,suv,chery-tiggo-7-pro-2022-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/chery/tiggo-7-pro/2022/
chery-tiggo-7-pro-2023,Chery,Tiggo 7 Pro,2023,suv,chery-tiggo-7-pro-2023-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/chery/tiggo-7-pro/2023/
chery-tiggo-7-pro-2024,Chery,Tiggo 7 Pro,2024,suv,chery-tiggo-7-pro-2024-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/chery/tiggo-7-pro/2024/
chery-tiggo-7-pro-2025,Chery,Tiggo 7 Pro,2025,suv,chery-tiggo-7-pro-2025-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/chery/tiggo-7-pro/2025/
gac-aion-y-2023,GAC,Aion Y,2023,suv,gac-aion-y-2023-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/gac/aion-y/2023/
gac-aion-y-2024,GAC,Aion Y,2024,suv,gac-aion-y-2024-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/gac/aion-y/2024/
gac-aion-y-2025,GAC,Aion Y,2025,suv,gac-aion-y-2025-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/gac/aion-y/2025/
haval-jolion-hev-2022,Haval,Jolion HEV,2022,suv,haval-jolion-hev-2022-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/haval/jolion-hev/2022/
haval-jolion-hev-2023,Haval,Jolion HEV,2023,suv,haval-jolion-hev-2023-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/haval/jolion-hev/2023/
haval-jolion-hev-2024,Haval,Jolion HEV,2024,suv,haval-jolion-hev-2024-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/haval/jolion-hev/2024/
haval-jolion-hev-2025,Haval,Jolion HEV,2025,suv,haval-jolion-hev-2025-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/haval/jolion-hev/2025/
jetour-dashing-2023,Jetour,Dashing,2023,suv,jetour-dashing-2023-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/jetour/dashing/2023/
jetour-dashing-2024,Jetour,Dashing,2024,suv,jetour-dashing-2024-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/jetour/dashing/2024/
jetour-dashing-2025,Jetour,Dashing,2025,suv,jetour-dashing-2025-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/jetour/dashing/2025/
land-rover-range-rover-evoque-2013,Land Rover,Range Rover Evoque,2013,suv,land-rover-range-rover-evoque-2013-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/land-rover/range-rover-evoque/2013/
land-rover-range-rover-evoque-2016,Land Rover,Range Rover Evoque,2016,suv,land-rover-range-rover-evoque-2016-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/land-rover/range-rover-evoque/2016/
land-rover-range-rover-evoque-2019,Land Rover,Range Rover Evoque,2019,suv,land-rover-range-rover-evoque-2019-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/land-rover/range-rover-evoque/2019/
land-rover-range-rover-evoque-2022,Land Rover,Range Rover Evoque,2022,suv,land-rover-range-rover-evoque-2022-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/land-rover/range-rover-evoque/2022/
land-rover-range-rover-evoque-2024,Land Rover,Range Rover Evoque,2024,suv,land-rover-range-rover-evoque-2024-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/land-rover/range-rover-evoque/2024/
land-rover-range-rover-sport-2008,Land Rover,Range Rover Sport,2008,suv,land-rover-range-rover-sport-2008-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/land-rover/range-rover-sport/2008/
land-rover-range-rover-sport-2012,Land Rover,Range Rover Sport,2012,suv,land-rover-range-rover-sport-2012-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/land-rover/range-rover-sport/2012/
land-rover-range-rover-sport-2016,Land Rover,Range Rover Sport,2016,suv,land-rover-range-rover-sport-2016-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/land-rover/range-rover-sport/2016/
land-rover-range-rover-sport-2019,Land Rover,Range Rover Sport,2019,suv,land-rover-range-rover-sport-2019-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/land-rover/range-rover-sport/2019/
land-rover-range-rover-sport-2022,Land Rover,Range Rover Sport,2022,suv,land-rover-range-rover-sport-2022-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/land-rover/range-rover-sport/2022/
land-rover-range-rover-sport-2024,Land Rover,Range Rover Sport,2024,suv,land-rover-range-rover-sport-2024-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/land-rover/range-rover-sport/2024/
lexus-lx-2008,Lexus,LX,2008,suv,lexus-lx-2008-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/lexus/lx/2008/
lexus-lx-2013,Lexus,LX,2013,suv,lexus-lx-2013-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/lexus/lx/2013/
lexus-lx-2016,Lexus,LX,2016,suv,lexus-lx-2016-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/lexus/lx/2016/
lexus-lx-2019,Lexus,LX,2019,suv,lexus-lx-2019-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/lexus/lx/2019/
lexus-lx-2022,Lexus,LX,2022,suv,lexus-lx-2022-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/lexus/lx/2022/
lexus-lx-2024,Lexus,LX,2024,suv,lexus-lx-2024-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/lexus/lx/2024/
mg-mg4-ev-2023,MG,MG4 EV,2023,hatchback,mg-mg4-ev-2023-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/mg/mg4-ev/2023/
mg-mg4-ev-2024,MG,MG4 EV,2024,hatchback,mg-mg4-ev-2024-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/mg/mg4-ev/2024/
mg-mg4-ev-2025,MG,MG4 EV,2025,hatchback,mg-mg4-ev-2025-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/mg/mg4-ev/2025/
porsche-cayenne-2008,Porsche,Cayenne,2008,suv,porsche-cayenne-2008-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/porsche/cayenne/2008/
porsche-cayenne-2012,Porsche,Cayenne,2012,suv,porsche-cayenne-2012-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/porsche/cayenne/2012/
porsche-cayenne-2016,Porsche,Cayenne,2016,suv,porsche-cayenne-2016-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/porsche/cayenne/2016/
porsche-cayenne-2019,Porsche,Cayenne,2019,suv,porsche-cayenne-2019-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/porsche/cayenne/2019/
porsche-cayenne-2022,Porsche,Cayenne,2022,suv,porsche-cayenne-2022-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/porsche/cayenne/2022/
porsche-cayenne-2024,Porsche,Cayenne,2024,suv,porsche-cayenne-2024-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/porsche/cayenne/2024/
