country,key,region,currency,confidenceStatus,confidenceLabel,missingFields,sourceGaps,priorityScore,recommendedAction
"Turkey","turkey","Middle East","TRY","needs_verification","Needs verification","country-specific tuition source; official visa/proof-of-funds source; official or institution living-cost source; insurance source; country-specific setup/travel methodology","No country-specific official tuition or institution fee URL attached.; No country-specific official immigration/proof-of-funds URL attached.; Living, insurance, setup, and travel values use regional planning estimates.; Regional confidence is low; show ranges instead of precise totals.; FX is static_estimate unless a timestamped cached/live provider is shown.","92","Verify official visa/proof-of-funds and at least one education-sector cost source before showing precise totals."
"United Arab Emirates","uae","Middle East","AED","needs_verification","Needs verification","country-specific tuition source; official visa/proof-of-funds source; official or institution living-cost source; insurance source; country-specific setup/travel methodology","No country-specific official tuition or institution fee URL attached.; No country-specific official immigration/proof-of-funds URL attached.; Living, insurance, setup, and travel values use regional planning estimates.; Regional confidence is low; show ranges instead of precise totals.; FX is static_estimate unless a timestamped cached/live provider is shown.","92","Verify official visa/proof-of-funds and at least one education-sector cost source before showing precise totals."
"Uruguay","uruguay","Latin America","UYU","needs_verification","Needs verification","country-specific tuition source; official visa/proof-of-funds source; official or institution living-cost source; insurance source; country-specific setup/travel methodology","No country-specific official tuition or institution fee URL attached.; No country-specific official immigration/proof-of-funds URL attached.; Living, insurance, setup, and travel values use regional planning estimates.; Regional confidence is low; show ranges instead of precise totals.; FX is static_estimate unless a timestamped cached/live provider is shown.","92","Verify official visa/proof-of-funds and at least one education-sector cost source before showing precise totals."
"Algeria","algeria","Africa","DZD","partial_source_coverage","Partial source coverage","country-specific tuition source; official visa/proof-of-funds source; official or institution living-cost source; insurance source; country-specific setup/travel methodology","No country-specific official tuition or institution fee URL attached.; No country-specific official immigration/proof-of-funds URL attached.; Living, insurance, setup, and travel values use regional planning estimates.; FX is static_estimate unless a timestamped cached/live provider is shown.","83","Add country-specific official visa, tuition, and living-cost source links."
"Botswana","botswana","Africa","BWP","partial_source_coverage","Partial source coverage","country-specific tuition source; official visa/proof-of-funds source; official or institution living-cost source; insurance source; country-specific setup/travel methodology","No country-specific official tuition or institution fee URL attached.; No country-specific official immigration/proof-of-funds URL attached.; Living, insurance, setup, and travel values use regional planning estimates.; FX is static_estimate unless a timestamped cached/live provider is shown.","83","Add country-specific official visa, tuition, and living-cost source links."
"Cameroon","cameroon","Africa","XAF","partial_source_coverage","Partial source coverage","country-specific tuition source; official visa/proof-of-funds source; official or institution living-cost source; insurance source; country-specific setup/travel methodology","No country-specific official tuition or institution fee URL attached.; No country-specific official immigration/proof-of-funds URL attached.; Living, insurance, setup, and travel values use regional planning estimates.; FX is static_estimate unless a timestamped cached/live provider is shown.","83","Add country-specific official visa, tuition, and living-cost source links."
"Cote d Ivoire","ivory-coast","Africa","XOF","partial_source_coverage","Partial source coverage","country-specific tuition source; official visa/proof-of-funds source; official or institution living-cost source; insurance source; country-specific setup/travel methodology","No country-specific official tuition or institution fee URL attached.; No country-specific official immigration/proof-of-funds URL attached.; Living, insurance, setup, and travel values use regional planning estimates.; FX is static_estimate unless a timestamped cached/live provider is shown.","83","Add country-specific official visa, tuition, and living-cost source links."
"Ethiopia","ethiopia","Africa","ETB","partial_source_coverage","Partial source coverage","country-specific tuition source; official visa/proof-of-funds source; official or institution living-cost source; insurance source; country-specific setup/travel methodology","No country-specific official tuition or institution fee URL attached.; No country-specific official immigration/proof-of-funds URL attached.; Living, insurance, setup, and travel values use regional planning estimates.; FX is static_estimate unless a timestamped cached/live provider is shown.","83","Add country-specific official visa, tuition, and living-cost source links."
"Malawi","malawi","Africa","MWK","partial_source_coverage","Partial source coverage","country-specific tuition source; official visa/proof-of-funds source; official or institution living-cost source; insurance source; country-specific setup/travel methodology","No country-specific official tuition or institution fee URL attached.; No country-specific official immigration/proof-of-funds URL attached.; Living, insurance, setup, and travel values use regional planning estimates.; FX is static_estimate unless a timestamped cached/live provider is shown.","83","Add country-specific official visa, tuition, and living-cost source links."
"Namibia","namibia","Africa","NAD","partial_source_coverage","Partial source coverage","country-specific tuition source; official visa/proof-of-funds source; official or institution living-cost source; insurance source; country-specific setup/travel methodology","No country-specific official tuition or institution fee URL attached.; No country-specific official immigration/proof-of-funds URL attached.; Living, insurance, setup, and travel values use regional planning estimates.; FX is static_estimate unless a timestamped cached/live provider is shown.","83","Add country-specific official visa, tuition, and living-cost source links."
"Nigeria","nigeria","Africa","NGN","partial_source_coverage","Partial source coverage","country-specific tuition source; official visa/proof-of-funds source; official or institution living-cost source; insurance source; country-specific setup/travel methodology","No country-specific official tuition or institution fee URL attached.; No country-specific official immigration/proof-of-funds URL attached.; Living, insurance, setup, and travel values use regional planning estimates.; FX is static_estimate unless a timestamped cached/live provider is shown.","83","Add country-specific official visa, tuition, and living-cost source links."
"Senegal","senegal","Africa","XOF","partial_source_coverage","Partial source coverage","country-specific tuition source; official visa/proof-of-funds source; official or institution living-cost source; insurance source; country-specific setup/travel methodology","No country-specific official tuition or institution fee URL attached.; No country-specific official immigration/proof-of-funds URL attached.; Living, insurance, setup, and travel values use regional planning estimates.; FX is static_estimate unless a timestamped cached/live provider is shown.","83","Add country-specific official visa, tuition, and living-cost source links."
"Tanzania","tanzania","Africa","TZS","partial_source_coverage","Partial source coverage","country-specific tuition source; official visa/proof-of-funds source; official or institution living-cost source; insurance source; country-specific setup/travel methodology","No country-specific official tuition or institution fee URL attached.; No country-specific official immigration/proof-of-funds URL attached.; Living, insurance, setup, and travel values use regional planning estimates.; FX is static_estimate unless a timestamped cached/live provider is shown.","83","Add country-specific official visa, tuition, and living-cost source links."
"Uganda","uganda","Africa","UGX","partial_source_coverage","Partial source coverage","country-specific tuition source; official visa/proof-of-funds source; official or institution living-cost source; insurance source; country-specific setup/travel methodology","No country-specific official tuition or institution fee URL attached.; No country-specific official immigration/proof-of-funds URL attached.; Living, insurance, setup, and travel values use regional planning estimates.; FX is static_estimate unless a timestamped cached/live provider is shown.","83","Add country-specific official visa, tuition, and living-cost source links."
"Zambia","zambia","Africa","ZMW","partial_source_coverage","Partial source coverage","country-specific tuition source; official visa/proof-of-funds source; official or institution living-cost source; insurance source; country-specific setup/travel methodology","No country-specific official tuition or institution fee URL attached.; No country-specific official immigration/proof-of-funds URL attached.; Living, insurance, setup, and travel values use regional planning estimates.; FX is static_estimate unless a timestamped cached/live provider is shown.","83","Add country-specific official visa, tuition, and living-cost source links."
"Bangladesh","bangladesh","Asia","BDT","partial_source_coverage","Partial source coverage","country-specific tuition source; official visa/proof-of-funds source; official or institution living-cost source; insurance source; country-specific setup/travel methodology","No country-specific official tuition or institution fee URL attached.; No country-specific official immigration/proof-of-funds URL attached.; Living, insurance, setup, and travel values use regional planning estimates.; FX is static_estimate unless a timestamped cached/live provider is shown.","78","Add country-specific official visa, tuition, and living-cost source links."
"Brunei","brunei","Asia","BND","partial_source_coverage","Partial source coverage","country-specific tuition source; official visa/proof-of-funds source; official or institution living-cost source; insurance source; country-specific setup/travel methodology","No country-specific official tuition or institution fee URL attached.; No country-specific official immigration/proof-of-funds URL attached.; Living, insurance, setup, and travel values use regional planning estimates.; FX is static_estimate unless a timestamped cached/live provider is shown.","78","Add country-specific official visa, tuition, and living-cost source links."
"Croatia","croatia","Europe","EUR","partial_source_coverage","Partial source coverage","country-specific tuition source; official visa/proof-of-funds source; official or institution living-cost source; insurance source; country-specific setup/travel methodology","No country-specific official tuition or institution fee URL attached.; No country-specific official immigration/proof-of-funds URL attached.; Living, insurance, setup, and travel values use regional planning estimates.; FX is static_estimate unless a timestamped cached/live provider is shown.","78","Add country-specific official visa, tuition, and living-cost source links."
"Cyprus","cyprus","Europe","EUR","partial_source_coverage","Partial source coverage","country-specific tuition source; official visa/proof-of-funds source; official or institution living-cost source; insurance source; country-specific setup/travel methodology","No country-specific official tuition or institution fee URL attached.; No country-specific official immigration/proof-of-funds URL attached.; Living, insurance, setup, and travel values use regional planning estimates.; FX is static_estimate unless a timestamped cached/live provider is shown.","78","Add country-specific official visa, tuition, and living-cost source links."
"Czech Republic","czech-republic","Europe","CZK","partial_source_coverage","Partial source coverage","country-specific tuition source; official visa/proof-of-funds source; official or institution living-cost source; insurance source; country-specific setup/travel methodology","No country-specific official tuition or institution fee URL attached.; No country-specific official immigration/proof-of-funds URL attached.; Living, insurance, setup, and travel values use regional planning estimates.; FX is static_estimate unless a timestamped cached/live provider is shown.","78","Add country-specific official visa, tuition, and living-cost source links."
"Estonia","estonia","Europe","EUR","partial_source_coverage","Partial source coverage","country-specific tuition source; official visa/proof-of-funds source; official or institution living-cost source; insurance source; country-specific setup/travel methodology","No country-specific official tuition or institution fee URL attached.; No country-specific official immigration/proof-of-funds URL attached.; Living, insurance, setup, and travel values use regional planning estimates.; FX is static_estimate unless a timestamped cached/live provider is shown.","78","Add country-specific official visa, tuition, and living-cost source links."
"Fiji","fiji","Oceania","FJD","partial_source_coverage","Partial source coverage","country-specific tuition source; official visa/proof-of-funds source; official or institution living-cost source; insurance source; country-specific setup/travel methodology","No country-specific official tuition or institution fee URL attached.; No country-specific official immigration/proof-of-funds URL attached.; Living, insurance, setup, and travel values use regional planning estimates.; FX is static_estimate unless a timestamped cached/live provider is shown.","78","Add country-specific official visa, tuition, and living-cost source links."
"Greece","greece","Europe","EUR","partial_source_coverage","Partial source coverage","country-specific tuition source; official visa/proof-of-funds source; official or institution living-cost source; insurance source; country-specific setup/travel methodology","No country-specific official tuition or institution fee URL attached.; No country-specific official immigration/proof-of-funds URL attached.; Living, insurance, setup, and travel values use regional planning estimates.; FX is static_estimate unless a timestamped cached/live provider is shown.","78","Add country-specific official visa, tuition, and living-cost source links."
"Hong Kong","hong-kong","Asia","HKD","partial_source_coverage","Partial source coverage","country-specific tuition source; official visa/proof-of-funds source; official or institution living-cost source; insurance source; country-specific setup/travel methodology","No country-specific official tuition or institution fee URL attached.; No country-specific official immigration/proof-of-funds URL attached.; Living, insurance, setup, and travel values use regional planning estimates.; FX is static_estimate unless a timestamped cached/live provider is shown.","78","Add country-specific official visa, tuition, and living-cost source links."
"Hungary","hungary","Europe","HUF","partial_source_coverage","Partial source coverage","country-specific tuition source; official visa/proof-of-funds source; official or institution living-cost source; insurance source; country-specific setup/travel methodology","No country-specific official tuition or institution fee URL attached.; No country-specific official immigration/proof-of-funds URL attached.; Living, insurance, setup, and travel values use regional planning estimates.; FX is static_estimate unless a timestamped cached/live provider is shown.","78","Add country-specific official visa, tuition, and living-cost source links."
"Iceland","iceland","Europe","ISK","partial_source_coverage","Partial source coverage","country-specific tuition source; official visa/proof-of-funds source; official or institution living-cost source; insurance source; country-specific setup/travel methodology","No country-specific official tuition or institution fee URL attached.; No country-specific official immigration/proof-of-funds URL attached.; Living, insurance, setup, and travel values use regional planning estimates.; FX is static_estimate unless a timestamped cached/live provider is shown.","78","Add country-specific official visa, tuition, and living-cost source links."
"Indonesia","indonesia","Asia","IDR","partial_source_coverage","Partial source coverage","country-specific tuition source; official visa/proof-of-funds source; official or institution living-cost source; insurance source; country-specific setup/travel methodology","No country-specific official tuition or institution fee URL attached.; No country-specific official immigration/proof-of-funds URL attached.; Living, insurance, setup, and travel values use regional planning estimates.; FX is static_estimate unless a timestamped cached/live provider is shown.","78","Add country-specific official visa, tuition, and living-cost source links."
"Kazakhstan","kazakhstan","Asia","KZT","partial_source_coverage","Partial source coverage","country-specific tuition source; official visa/proof-of-funds source; official or institution living-cost source; insurance source; country-specific setup/travel methodology","No country-specific official tuition or institution fee URL attached.; No country-specific official immigration/proof-of-funds URL attached.; Living, insurance, setup, and travel values use regional planning estimates.; FX is static_estimate unless a timestamped cached/live provider is shown.","78","Add country-specific official visa, tuition, and living-cost source links."
"Latvia","latvia","Europe","EUR","partial_source_coverage","Partial source coverage","country-specific tuition source; official visa/proof-of-funds source; official or institution living-cost source; insurance source; country-specific setup/travel methodology","No country-specific official tuition or institution fee URL attached.; No country-specific official immigration/proof-of-funds URL attached.; Living, insurance, setup, and travel values use regional planning estimates.; FX is static_estimate unless a timestamped cached/live provider is shown.","78","Add country-specific official visa, tuition, and living-cost source links."
"Lithuania","lithuania","Europe","EUR","partial_source_coverage","Partial source coverage","country-specific tuition source; official visa/proof-of-funds source; official or institution living-cost source; insurance source; country-specific setup/travel methodology","No country-specific official tuition or institution fee URL attached.; No country-specific official immigration/proof-of-funds URL attached.; Living, insurance, setup, and travel values use regional planning estimates.; FX is static_estimate unless a timestamped cached/live provider is shown.","78","Add country-specific official visa, tuition, and living-cost source links."
"Luxembourg","luxembourg","Europe","EUR","partial_source_coverage","Partial source coverage","country-specific tuition source; official visa/proof-of-funds source; official or institution living-cost source; insurance source; country-specific setup/travel methodology","No country-specific official tuition or institution fee URL attached.; No country-specific official immigration/proof-of-funds URL attached.; Living, insurance, setup, and travel values use regional planning estimates.; FX is static_estimate unless a timestamped cached/live provider is shown.","78","Add country-specific official visa, tuition, and living-cost source links."
"Macau","macau","Asia","HKD","partial_source_coverage","Partial source coverage","country-specific tuition source; official visa/proof-of-funds source; official or institution living-cost source; insurance source; country-specific setup/travel methodology","No country-specific official tuition or institution fee URL attached.; No country-specific official immigration/proof-of-funds URL attached.; Living, insurance, setup, and travel values use regional planning estimates.; FX is static_estimate unless a timestamped cached/live provider is shown.","78","Add country-specific official visa, tuition, and living-cost source links."
"Malta","malta","Europe","EUR","partial_source_coverage","Partial source coverage","country-specific tuition source; official visa/proof-of-funds source; official or institution living-cost source; insurance source; country-specific setup/travel methodology","No country-specific official tuition or institution fee URL attached.; No country-specific official immigration/proof-of-funds URL attached.; Living, insurance, setup, and travel values use regional planning estimates.; FX is static_estimate unless a timestamped cached/live provider is shown.","78","Add country-specific official visa, tuition, and living-cost source links."
"Mexico","mexico","North America","MXN","partial_source_coverage","Partial source coverage","country-specific tuition source; official visa/proof-of-funds source; official or institution living-cost source; insurance source; country-specific setup/travel methodology","No country-specific official tuition or institution fee URL attached.; No country-specific official immigration/proof-of-funds URL attached.; Living, insurance, setup, and travel values use regional planning estimates.; FX is static_estimate unless a timestamped cached/live provider is shown.","78","Add country-specific official visa, tuition, and living-cost source links."
"Nepal","nepal","Asia","NPR","partial_source_coverage","Partial source coverage","country-specific tuition source; official visa/proof-of-funds source; official or institution living-cost source; insurance source; country-specific setup/travel methodology","No country-specific official tuition or institution fee URL attached.; No country-specific official immigration/proof-of-funds URL attached.; Living, insurance, setup, and travel values use regional planning estimates.; FX is static_estimate unless a timestamped cached/live provider is shown.","78","Add country-specific official visa, tuition, and living-cost source links."
"Pakistan","pakistan","Asia","PKR","partial_source_coverage","Partial source coverage","country-specific tuition source; official visa/proof-of-funds source; official or institution living-cost source; insurance source; country-specific setup/travel methodology","No country-specific official tuition or institution fee URL attached.; No country-specific official immigration/proof-of-funds URL attached.; Living, insurance, setup, and travel values use regional planning estimates.; FX is static_estimate unless a timestamped cached/live provider is shown.","78","Add country-specific official visa, tuition, and living-cost source links."
"Papua New Guinea","papua-new-guinea","Oceania","PGK","partial_source_coverage","Partial source coverage","country-specific tuition source; official visa/proof-of-funds source; official or institution living-cost source; insurance source; country-specific setup/travel methodology","No country-specific official tuition or institution fee URL attached.; No country-specific official immigration/proof-of-funds URL attached.; Living, insurance, setup, and travel values use regional planning estimates.; FX is static_estimate unless a timestamped cached/live provider is shown.","78","Add country-specific official visa, tuition, and living-cost source links."
"Philippines","philippines","Asia","PHP","partial_source_coverage","Partial source coverage","country-specific tuition source; official visa/proof-of-funds source; official or institution living-cost source; insurance source; country-specific setup/travel methodology","No country-specific official tuition or institution fee URL attached.; No country-specific official immigration/proof-of-funds URL attached.; Living, insurance, setup, and travel values use regional planning estimates.; FX is static_estimate unless a timestamped cached/live provider is shown.","78","Add country-specific official visa, tuition, and living-cost source links."
"Romania","romania","Europe","RON","partial_source_coverage","Partial source coverage","country-specific tuition source; official visa/proof-of-funds source; official or institution living-cost source; insurance source; country-specific setup/travel methodology","No country-specific official tuition or institution fee URL attached.; No country-specific official immigration/proof-of-funds URL attached.; Living, insurance, setup, and travel values use regional planning estimates.; FX is static_estimate unless a timestamped cached/live provider is shown.","78","Add country-specific official visa, tuition, and living-cost source links."
"Samoa","samoa","Oceania","WST","partial_source_coverage","Partial source coverage","country-specific tuition source; official visa/proof-of-funds source; official or institution living-cost source; insurance source; country-specific setup/travel methodology","No country-specific official tuition or institution fee URL attached.; No country-specific official immigration/proof-of-funds URL attached.; Living, insurance, setup, and travel values use regional planning estimates.; FX is static_estimate unless a timestamped cached/live provider is shown.","78","Add country-specific official visa, tuition, and living-cost source links."
"Slovakia","slovakia","Europe","EUR","partial_source_coverage","Partial source coverage","country-specific tuition source; official visa/proof-of-funds source; official or institution living-cost source; insurance source; country-specific setup/travel methodology","No country-specific official tuition or institution fee URL attached.; No country-specific official immigration/proof-of-funds URL attached.; Living, insurance, setup, and travel values use regional planning estimates.; FX is static_estimate unless a timestamped cached/live provider is shown.","78","Add country-specific official visa, tuition, and living-cost source links."
"Slovenia","slovenia","Europe","EUR","partial_source_coverage","Partial source coverage","country-specific tuition source; official visa/proof-of-funds source; official or institution living-cost source; insurance source; country-specific setup/travel methodology","No country-specific official tuition or institution fee URL attached.; No country-specific official immigration/proof-of-funds URL attached.; Living, insurance, setup, and travel values use regional planning estimates.; FX is static_estimate unless a timestamped cached/live provider is shown.","78","Add country-specific official visa, tuition, and living-cost source links."
"Sri Lanka","sri-lanka","Asia","LKR","partial_source_coverage","Partial source coverage","country-specific tuition source; official visa/proof-of-funds source; official or institution living-cost source; insurance source; country-specific setup/travel methodology","No country-specific official tuition or institution fee URL attached.; No country-specific official immigration/proof-of-funds URL attached.; Living, insurance, setup, and travel values use regional planning estimates.; FX is static_estimate unless a timestamped cached/live provider is shown.","78","Add country-specific official visa, tuition, and living-cost source links."
"Taiwan","taiwan","Asia","TWD","partial_source_coverage","Partial source coverage","country-specific tuition source; official visa/proof-of-funds source; official or institution living-cost source; insurance source; country-specific setup/travel methodology","No country-specific official tuition or institution fee URL attached.; No country-specific official immigration/proof-of-funds URL attached.; Living, insurance, setup, and travel values use regional planning estimates.; FX is static_estimate unless a timestamped cached/live provider is shown.","78","Add country-specific official visa, tuition, and living-cost source links."
"Thailand","thailand","Asia","THB","partial_source_coverage","Partial source coverage","country-specific tuition source; official visa/proof-of-funds source; official or institution living-cost source; insurance source; country-specific setup/travel methodology","No country-specific official tuition or institution fee URL attached.; No country-specific official immigration/proof-of-funds URL attached.; Living, insurance, setup, and travel values use regional planning estimates.; FX is static_estimate unless a timestamped cached/live provider is shown.","78","Add country-specific official visa, tuition, and living-cost source links."
